token,token_id,n_occurrences,n_people,pct_people
LAB_tilstand_grad_amr_Q8,6184,1096829050,7467212,0.827054
LAB_bredt_loen_beloeb_Q1,6194,940370857,6739339,0.746437
HEA_speciale_800101,25880,592102847,8230575,0.911603
HEA_speciale_800201,25879,395454580,7938662,0.879271
LAB_soc_status_kode_134,5334,296260259,3100219,0.343374
HEA_DW_manual_bin_50_100,10491,263563004,4803984,0.53208
LAB_akm_type_akm_independent,1477,251872029,9007910,0.997699
LAB_akm_type_akm_primary,1476,251872029,9007910,0.997699
LAB_akm_type_akm_wagereceiver,1478,251872029,9007910,0.997699
LAB_soc_status_kode_511,5339,223922423,2680934,0.296935
LAB_soc_status_kode_414,5340,187219608,1745982,0.193382
HEA_DW_manual_bin_20_30,10496,184139949,5616528,0.622076
LAB_soc_status_kode_132,5333,156062336,1597466,0.176932
LAB_tilstand_grad_amr_Q1,6188,154218588,4600762,0.509572
HEA_DW_manual_bin_40_50,10492,124765051,4605663,0.510115
LAB_udd_besk_kode_nullified_1,5378,119442611,3336281,0.36952
HEA_DW_manual_bin_100_500,10495,106046886,3305583,0.36612
LAB_tilstand_grad_amr_Q7,6186,98426440,3643633,0.403562
HEA_DW_manual_bin_30_40,10508,97471748,4160366,0.460794
HEA_speciale_800105,26017,89514184,5293546,0.586303
HEA_patienttype_2,10668,78270375,6800206,0.753178
HEA_DW_manual_bin_15_20,10517,76681714,4689274,0.519375
LAB_tilstand_grad_amr_Q2,6191,76552499,3741355,0.414386
LAB_soc_status_kode_512,5363,75454692,2025218,0.224309
LAB_soc_status_kode_133,5336,74623909,1230008,0.136233
LAB_soc_status_kode_135,5332,74526198,1495103,0.165595
HEA_DW_manual_bin_10_15,10507,71296989,5571771,0.617119
LAB_tilstand_grad_amr_Q6,6190,70682608,3449060,0.382011
HEA_speciale_501301,25893,67338212,4576543,0.506889
HEA_speciale_802101,25950,66936190,5835074,0.646282
LAB_soc_status_kode_200,5329,66034864,1765640,0.195559
LAB_tilstand_grad_amr_Q3,6185,65657198,3684510,0.408089
HEA_urgency_ATA3,10662,62350658,4354828,0.482333
LAB_soc_status_kode_517,5346,61359509,1412711,0.156469
HEA_atc_N02BE01,8835,58440737,3899364,0.431886
HEA_speciale_510111,25904,55514544,2840508,0.314609
LAB_soc_status_kode_136,5337,55330902,1860379,0.206052
LAB_soc_status_kode_110,5335,54966091,652776,0.0723
LAB_soc_status_kode_300,5327,51425545,4021177,0.445378
LAB_tilstand_grad_amr_Q4,6189,50308387,3287174,0.364081
LAB_tilstand_grad_amr_Q5,6187,48141166,3412043,0.377912
HEA_DW_manual_bin_10,10494,47938543,5577095,0.617709
HEA_DWG_manual_bin_50_100,10558,45765718,1830318,0.202723
HEA_patienttype_0,10669,45294304,7209675,0.79853
LAB_tilstand_kode_99999,6148,42366301,3607193,0.399526
LAB_soc_status_kode_411,5344,41452395,453156,0.050191
LAB_soc_status_kode_514,5359,37580915,2667416,0.295438
HEA_speciale_807101,25889,36921698,5156999,0.57118
HEA_urgency_1,10660,36713036,7047311,0.780547
HEA_urgency_2,10659,36705760,6155907,0.681817
HEA_speciale_620111,25903,35784878,237180,0.02627
LAB_soc_status_kode_513,5357,34385452,3001539,0.332445
LAB_bredt_loen_beloeb_Q2,6234,32212994,3507492,0.388483
HEA_speciale_802133,25928,32026405,5646608,0.625408
LAB_socio13_420,1499,31884871,3116393,0.345166
LAB_db07_861000.0,5387,31866911,342962,0.037986
LAB_socio13_134,1479,31271808,3433996,0.380343
HEA_atc_J01CE02,8877,30754515,6043786,0.669398
HEA_DW_manual_bin_7,10504,28711639,4766545,0.527934
LAB_socio13_322,1481,28653189,2534819,0.280752
HEA_PK_manual_bin_1,10493,28545184,5487880,0.607827
HEA_DW_manual_bin_8,10514,28454003,4810679,0.532822
HEA_ICD10_DZ016,10673,28398229,4867513,0.539117
EDU_grade_7,32053,28375290,1669085,0.184865
HEA_atc_B01AC06,8834,28093066,1201933,0.133124
HEA_speciale_501140,25923,28069614,3667073,0.406158
HEA_atc_C10AA01,9307,27157728,984557,0.109048
HEA_atc_M01AE01,8839,27067904,4107597,0.45495
HEA_speciale_807120,25913,26985247,5186164,0.57441
LAB_rentudgpr_Q1,8447,26780705,5261186,0.582719
HEA_speciale_501120,31019,26224092,2733000,0.302702
HEA_DW_manual_bin_4,10509,26050807,5018820,0.555875
HEA_speciale_807108,25896,25621021,4497905,0.49818
HEA_atc_C07AB02,8905,25265011,953823,0.105644
LAB_soc_status_kode_131,5338,24563630,357977,0.039649
LAB_db07_852010.0,5384,24438025,405110,0.044869
EDU_field_102010,32304,24298574,6087451,0.674235
LAB_soc_status_kode_612,5330,23896176,2219079,0.245781
LAB_fravaer_besk_kode_nullified_2,5367,23867763,2219074,0.245781
HEA_atc_C08CA01,8881,23370747,1096034,0.121395
LAB_bredt_loen_beloeb_Q3,6238,23352437,3397060,0.376252
HEA_speciale_800501,25890,23146070,4406905,0.488101
LAB_tilstand_kode_15020,6167,22882985,1072166,0.118751
LAB_db07_871010.0,5412,22360213,371497,0.041146
HEA_speciale_190110,25881,22333426,4273174,0.473289
HEA_atc_C03AB01,8840,22278090,1314099,0.145547
HEA_speciale_501505,25892,22270714,3828658,0.424055
HEA_atc_N02AX02,8862,22267746,2114394,0.234186
HEA_atc_C03CA01,8867,21891269,1160907,0.12858
LAB_tilstand_grad_amr_Q9,6192,21775211,1840379,0.203837
LAB_soc_status_kode_318,5352,21528729,567513,0.062857
LAB_soc_status_kode_412,5345,21480625,476038,0.052725
HEA_speciale_807136,25882,21162820,3562652,0.394593
HEA_atc_A12BA01,8864,20965062,1173348,0.129958
HEA_speciale_503010,31057,20881392,3148624,0.348736
HEA_GP_manual_bin_20_30,10498,20634909,4440234,0.491792
HEA_speciale_502920,25980,20398320,4244358,0.470097
HEA_DWK_manual_bin_20_30,10527,20147594,1395073,0.154516
HEA_speciale_800602,25919,20078396,4420634,0.489621
HEA_DW_manual_bin_5,10516,19873631,4262767,0.472136
HEA_DWK_manual_bin_50_100,10526,19707360,979958,0.108538
LAB_soc_status_kode_415,5341,19492123,545463,0.060414
LAB_bredt_loen_beloeb_Q4,6218,19434559,3266014,0.361738
HEA_atc_A10BA02,9015,18862979,473106,0.0524
LAB_fravaer_besk_kode_nullified_4,5369,18806255,2740012,0.303479
HEA_patienttype_3,10670,18505859,4941481,0.547309
HEA_speciale_501431,25947,18180998,2103131,0.232939
HEA_speciale_210101,25907,18146246,4653035,0.515361
HEA_speciale_531030,25899,18059076,1561816,0.172984
HEA_speciale_040130,25997,18054543,2174250,0.240816
EDU_grade_4,32052,17935167,1548291,0.171486
LAB_tilstand_kode_15025,6137,17824631,817703,0.090567
EDU_grade_10,32054,17688371,1477471,0.163642
EDU_course_Dansk,32014,17377146,1409935,0.156162
HEA_speciale_802601,25886,17368738,2658158,0.294413
LAB_ovrig_overforsel_13_Q1,7598,17311156,4109959,0.455211
EDU_udd_1114,34361,17183366,1614588,0.178829
LAB_stoette_besk_kode_nullified_3,5371,17072968,176306,0.019527
DEM_manual_bin_antefam_manual_bin_1,1436,16940605,8468102,0.937911
HEA_DW_manual_bin_2,10506,16887264,3414076,0.378137
LAB_socio13_310,1495,16812443,2946806,0.326383
LAB_tilstand_kode_11594,6132,16736233,1176070,0.130259
EDU_field_101010,32600,16471275,1642053,0.181871
HEA_speciale_501170,25927,16329904,2861375,0.316921
EDU_udd_1116,33323,16306000,3681286,0.407732
LAB_bredt_loen_beloeb_Q5,6197,16277281,3143281,0.348144
LAB_db07_841100.0,5405,16269469,419288,0.04644
HEA_DW_manual_bin_3,10501,16150938,4158476,0.460585
LAB_gron_check_Q7,7814,16103422,3872687,0.428932
HEA_atc_N06AB04,8868,15718537,849923,0.094136
HEA_atc_C09CA01,8913,15667109,837718,0.092784
HEA_speciale_501114,29446,15408683,3178762,0.352074
EDU_dageialtfra_1,39943,15256077,1316315,0.145793
HEA_atc_H03AA01,8938,15159636,320538,0.035502
HEA_atc_A02BC02,9419,14957217,1704415,0.188778
LAB_db07_881010.0,5396,14953612,376681,0.04172
HEA_atc_G03CA03,8861,14891569,765569,0.084793
DEM_Birth,1466,14624456,6028798,0.667738
LAB_soc_status_kode_313,5348,14606247,804606,0.089117
