flag,code,category,description_da,description_en,detail
F10_diverge_official,LAB_disco08_112020,LAB_disco08,Virksomhedsledelse af tværgående funktioner,Cross-functional business leadership,official='Managing Directors and Chief Executives'  r=0.24
F10_diverge_official,LAB_disco08_021000,LAB_disco08,,Menige og korporaler (Other ranks),official='Non-commissioned Armed Forces Officers'  r=0.22
F10_diverge_official,LAB_disco08_121200,LAB_disco08,Ledelse inden for HR-funktioner,Management in HR functions,official='Human Resource Managers'  r=0.33
F10_diverge_official,LAB_disco08_112010,LAB_disco08,Øverste administrerende virksomhedsledelse,Top-level corporate management,official='Managing Directors and Chief Executives'  r=0.23
F10_diverge_official,LAB_disco08_931210,LAB_disco08,Asfaltarbejde,Asphalt work,official='Civil Engineering Labourers'  r=0.10
F10_diverge_official,LAB_disco08_722100,LAB_disco08,Smedearbejde,Smithing / blacksmith work,"official='Blacksmiths, Hammersmiths and Forging Press Worker'  r=0.39"
F10_diverge_official,LAB_disco08_311110,LAB_disco08,Laborantarbejde,Laboratory technician work,official='Chemical and Physical Science Technicians'  r=0.42
F10_diverge_official,LAB_disco08_121320,LAB_disco08,Administrativ ledelse i den offentlige sektor,Administrative management in the public sector,official='Policy and Planning Managers'  r=0.32
F10_diverge_official,LAB_disco08_741100,LAB_disco08,Elektrikerarbejde,Electrician work,official='Building and Related Electricians'  r=0.45
F10_diverge_official,LAB_disco08_111100,LAB_disco08,Øverste ledelse i lovgivende myndigheder,Top-level management in legislative authorities,official='Legislators'  r=0.38
F10_diverge_official,LAB_disco08_111200,LAB_disco08,Øverste ledelse i offentlige virksomheder,Top-level management in public enterprises,official='Senior Government Officials'  r=0.38
F10_diverge_official,LAB_disco08_121100,LAB_disco08,Ledelse inden for økonomifunktioner,Economic function management,official='Finance Managers'  r=0.45
F10_diverge_official,LAB_disco08_311120,LAB_disco08,Assistentarbejde i laboratorier,Laboratory assistant work,official='Chemical and Physical Science Technicians'  r=0.27
F10_diverge_official,LAB_disco08_422100,LAB_disco08,Rejsebureauarbejde,Travel agency work,official='Travel Consultants and Clerks'  r=0.47
F10_diverge_official,LAB_disco08_311800,LAB_disco08,Teknisk tegnearbejde,Technical drawing / drafting work,official='Draughtspersons'  r=0.17
F10_diverge_official,LAB_disco08_931230,LAB_disco08,Kabelarbejde,Cable work,official='Civil Engineering Labourers'  r=0.27
F10_diverge_official,LAB_disco08_516300,LAB_disco08,Bedemandsarbejde,Funeral director work,official='Undertakers and Embalmers'  r=0.30
F10_diverge_official,LAB_disco08_711300,LAB_disco08,Stenhuggerarbejde,Stonemason work,"official='Stonemasons, Stone Cutters, Splitters and Carvers'  r=0.42"
F10_diverge_official,LAB_disco08_121310,LAB_disco08,Ledelse inden for virksomhedsstrategi/policy området,Management within Business Strategy/Policy Area,official='Policy and Planning Managers'  r=0.24
F10_diverge_official,LAB_disco08_721500,LAB_disco08,Riggerarbejde,Rigger work,official='Riggers and Cable Splicers'  r=0.43
F10_diverge_official,LAB_disco08_831200,LAB_disco08,Tograngering,Train shunting,"official='Railway Brake, Signal and Switch Operators'  r=0.25"
F10_diverge_official,LAB_disco08_516200,LAB_disco08,Kammertjenerarbejde,Valet work,official='Companions and Valets'  r=0.32
F10_diverge_official,LAB_disco08_010000,LAB_disco08,,DISCO-08 occupation code 010000,official='Commissioned Armed Forces Officers'  r=0.28
F10_diverge_official,LAB_disco_713700,LAB_disco,Elektrikerarbejde,Electrician work,official='Building and related electricians'  r=0.45
F10_diverge_official,LAB_disco_712400,LAB_disco,Arbejde med isolering af bygninger,Work involving building insulation,official='Insulation Workers'  r=0.38
F10_diverge_official,LAB_disco_612100,LAB_disco,"Arbejde med opdræt af husdyr, ekskl. fjerkræ","Work related to livestock farming, excluding poultry",official='Livestock and Dairy Producers'  r=0.42
