# id	specialty_en	description_da	auto_en
86	Anaesthesiology	Anæsthesiologi, læ anæ.ifm ørelægebi	Anaesthesiology, Læ anæ.in connection with ørelægebi
161	Ophthalmology service	Øjenlægehjælp, Fjernelse Af ¯je An.	Ophthalmology service, Removal of øje anaesthesia
191	Ophthalmology service	Øjenlægehjælp, Ope. Indad. ¯jenl.An	Ophthalmology service, Operation indad. øjenl.an
193	Ophthalmology service	Øjenlægehjælp, Ope. Udad. ¯jenl. An	Ophthalmology service, Operation udad. øjenl. an
231	Ophthalmology service	Øjenlægehjælp, YAGlaser følg.opera.	Ophthalmology service, YAG laser følg.opera.
238	Ophthalmology service	Øjenlægehjælp, opr.grå st.indl.intr	Ophthalmology service, Opr.grå st.indl.intr
255	Orthopaedic surgery	Ortopædisk kirurgi, Art knæ stør flg op	Orthopaedic surgery, Art knee stør flg op
305	Orthopaedic surgery	Ortopædisk kirurgi, Op. Kon. Håndf. 1.An	Orthopaedic surgery, Operation kon. håndf. 1.an
306	Orthopaedic surgery	Ortopædisk kirurgi, Op. Kon.Håndf. Fg.An	Orthopaedic surgery, Operation kon.håndf. fg.an
309	Orthopaedic surgery	Ortopædisk kirurgi, Op. Slidg. St.Tå Flg	Orthopaedic surgery, Operation osteoarthritis. st.tå flg
310	Orthopaedic surgery	Ortopædisk kirurgi, Op. Slidg.St.Tå 1.An	Orthopaedic surgery, Operation osteoarthritis.st.tå 1.an
311	Orthopaedic surgery	Ortopædisk kirurgi, Op. Slidgigt St.Tå 1	Orthopaedic surgery, Operation osteoarthritis st.tå 1
314	Orthopaedic surgery	Ortopædisk kirurgi, Op.Slidg.St.Tå Fg.An	Orthopaedic surgery, Op.osteoarthritis.st.tå fg.an
316	Orthopaedic surgery	Ortopædisk kirurgi, Op.årekn.ex.lysk.hø	Orthopaedic surgery, Op.varicose veins.ex.lysk.hø
317	Orthopaedic surgery	Ortopædisk kirurgi, Op.årekn.i lysk.hø.b	Orthopaedic surgery, Op.varicose veins.i lysk.hø.b
337	Orthopaedic surgery	Ortopædisk kirurgi, Operat. åreknud. Flg	Orthopaedic surgery, Operation åreknud. flg
383	ENT service	Ørelægehjælp, Beh. af næsebl. m. t	ENT service, Treatment of næsebl. with t
394	ENT service	Ørelægehjælp, Cutanprøv. 3-aft.A80	ENT service, Cutanprøv. 3-aft.a80
401	ENT service	Ørelægehjælp, Finnålsdiagnostik	ENT service, Finnålsdiagnostik
403	ENT service	Ørelægehjælp, Fj. drøbelen	ENT service, Removal. drøbelen
414	ENT service	Ørelægehjælp, Fjern. Spytkirt.Kæbe	ENT service, Removal spytkirt.kæbe
417	ENT service	Ørelægehjælp, Fjern. ¯repolypp. An	ENT service, Removal ørepolypp. an
418	ENT service	Ørelægehjælp, Fjern. ¯repolypp.An.	ENT service, Removal ørepolypp.an.
419	ENT service	Ørelægehjælp, Fjern. ¯repolypper	ENT service, Removal ørepolypper
421	ENT service	Ørelægehjælp, Forund.høreapp. A80	ENT service, Forund.høreapp. a80
424	ENT service	Ørelægehjælp, Forunds. mhp høreapp	ENT service, Forunds. mhp høreapp
427	ENT service	Ørelægehjælp, Høreapparat A80	ENT service, Høreapparat a80
428	ENT service	Ørelægehjælp, Høreapparattilp. fl.	ENT service, Høreapparattilp. fl.
429	ENT service	Ørelægehjælp, Høreapparattilpasn.	ENT service, Høreapparattilpasn.
438	ENT service	Ørelægehjælp, Korr. Næseskillevæg	ENT service, Correction. næseskillevæg
440	ENT service	Ørelægehjælp, Meche-beh. bet.øreg.	ENT service, Meche-beh. bet.øreg.
445	ENT service	Ørelægehjælp, Mellemøreoperat. An.	ENT service, Mellemøreoperat. anaesthesia
447	ENT service	Ørelægehjælp, Monit. af søvnapnø	ENT service, Monit. of søvnapnø
450	ENT service	Ørelægehjælp, Måling af ota. emi.	ENT service, Måling of ota. emi.
452	ENT service	Ørelægehjælp, Oper. Kæbe Tandl.An.	ENT service, Operation. kæbe tandl.an.
455	ENT service	Ørelægehjælp, Operat. Kæbe. Tandl.	ENT service, Operation kæbe. tandl.
470	ENT service	Ørelægehjælp, Punkt. Af Kæbehul.An	ENT service, Puncture of kæbehul.an
499	ENT service	Ørelægehjælp, Tubulation af kæbeh.	ENT service, Tubulation of kæbeh.
514	ENT service	Ørelægehjælp, ¯reprop tilp.a50	ENT service, Øreprop tilp.a50
515	ENT service	Ørelægehjælp, ¯reprop/skaltilp. ¤3	ENT service, Øreprop/skaltilp. ¤3
516	Pathology	Patologi, Immunhistokemisk præ	Pathology, Immunhistokemisk præ
517	Pathology	Patologi, Konusundersøgelse	Pathology, Konusundersøgelse
519	Pathology	Patologi, Vævsmikroskopi Cyto.	Pathology, Vævsmikroskopi cyto.
520	Pathology	Patologi, vævsmikroskopi med mindst 4 biopsier	Pathology, Vævsmikroskopi with mindst 4 biopsier
533	Plastic surgery	Plastikkirurgi, Indsætt. Allopla. 1.	Plastic surgery, Indsætt. allopla. 1.
541	Plastic surgery	Plastikkirurgi, Oper. Hudkræft    1.	Plastic surgery, Operation. hudkræft 1.
542	Plastic surgery	Plastikkirurgi, Oper. Hudkræft  Flg.	Plastic surgery, Operation. hudkræft subsequent
570	Psychiatry	Psykiatri, Pt-Ekg  3ext.3præ. 9	Psychiatry, Pt-ECG 3ext.3præ. 9
595	Paediatrics	Pædiatri, 1.kons adfærd.forst.	Paediatrics, 1.kons adfærd.forst.
601	Paediatrics	Pædiatri, Allerg. Prov.Forsøg	Paediatrics, Allergy. prov.forsøg
602	Paediatrics	Pædiatri, Analafskr-Oxyurisæg2	Paediatrics, Analafskr-oxyurisæg2
616	Paediatrics	Pædiatri, Ekg  3 Ext. 3 Præ. 9	Paediatrics, ECG 3 ext. 3 præ. 9
619	Paediatrics	Pædiatri, Hæmatologisk Us.Ii 6	Paediatrics, Hæmatologisk us.ii 6
643	Paediatrics	Pædiatri, Urinprøvetag Steril4	Paediatrics, Urinprøvetag steril4
644	Paediatrics	Pædiatri, anstrengelsesprovokation løbebånd	Paediatrics, Anstrengelsesprovokation løbebånd
648	Paediatrics	Pædiatri, fødevareprovokation	Paediatrics, Fødevareprovokation
655	Paediatrics	Pædiatri, reg. af mavesmerter og afføring	Paediatrics, Regional of mavesmerter and afføring
657	Paediatrics	Pædiatri, reg. af symptomer astma og høfeber	Paediatrics, Regional of symptomer astma and høfeber
664	Paediatrics	Pædiatri, tværfaglig telefionkons.	Paediatrics, Tværfaglig telefionkons.
669	Paediatrics	Pædiatri, øjenprovokation	Paediatrics, Øjenprovokation
676	Child psychiatry	Børnepsykiatri, 2/Se.Kons. Foræl.Te.	Child psychiatry, 2/se.kons. foræl.te.
681	Child psychiatry	Børnepsykiatri, Børnepsykiatri_amt15	Child psychiatry, Børnepsykiatri_amt15
683	Child psychiatry	Børnepsykiatri, Hon beh.mø i b.psy	Child psychiatry, Hon beh.mø i b.psy
701	Tropical medicine	Tropemedicin, Urinprøvetag Steril4	Tropical medicine, Urinprøvetag steril4
754	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., galdeblære	Diagnostic radiology, Copenhagen, Galdeblære
769	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., nedre abdomen, blære	Diagnostic radiology, Copenhagen, Nedre abdomen, blære
777	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., udv.urologi tømnings	Diagnostic radiology, Copenhagen, Udv.urologi tømnings
785	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., øvre abdomen	Diagnostic radiology, Copenhagen, Øvre abdomen
805	Dermato-venereology	Dermato-venerologi, Allerg. Prov.Forsøg	Dermato-venereology, Allergy. prov.forsøg
823	Dermato-venereology	Dermato-venerologi, Dyrkning gærsvamp 12	Dermato-venereology, Dyrkning gærsvamp 12
846	Dermato-venereology	Dermato-venerologi, Hæmangioner R81	Dermato-venereology, Hæmangioner r81
853	Dermato-venereology	Dermato-venerologi, Intralæsion. injekt.	Dermato-venereology, Intralæsion. injection.
855	Dermato-venereology	Dermato-venerologi, Karmodermærker	Dermato-venereology, Karmodermærker
871	Dermato-venereology	Dermato-venerologi, Mål.peri.blodt. 3A15	Dermato-venereology, Mål.peri.blodt. 3a15
872	Dermato-venereology	Dermato-venerologi, Mørkefeltsmikros.  5	Dermato-venereology, Mørkefeltsmikros. 5
874	Dermato-venereology	Dermato-venerologi, Overlæbe pr. beh.	Dermato-venereology, Overlæbe per treatment
875	Dermato-venereology	Dermato-venerologi, Overlæbe pr. behandl	Dermato-venereology, Overlæbe per behandl
895	Dermato-venereology	Dermato-venerologi, Tjærebade          .	Dermato-venereology, Tjærebade .
902	Dermato-venereology	Dermato-venerologi, Urinprøvetag.steril4	Dermato-venereology, Urinprøvetag.steril4
903	Dermato-venereology	Dermato-venerologi, Urinundersøg. stix 1	Dermato-venereology, Urinundersøg. stix 1
917	Dermato-venereology	Dermato-venerologi, fj. uønsk.hårvækst	Dermato-venereology, Removal. uønsk.hårvækst
919	Dermato-venereology	Dermato-venerologi, laserbeh.karsprængn.	Dermato-venereology, Laserbeh.karsprængn.
940	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Acajounød IgE;P	Copenhagen GP Laboratory (KPLL), Acajounød ige;p
953	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Alfa Føtoprot;P	Copenhagen GP Laboratory (KPLL), Alfa føtoprot;p
1007	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Blåmusling IgE;P	Copenhagen GP Laboratory (KPLL), Blåmusling ige;p
1013	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Bøg IgE;P	Copenhagen GP Laboratory (KPLL), Bøg ige;p
1014	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Børnekost IgE;P	Copenhagen GP Laboratory (KPLL), Børnekost ige;p
1080	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Døgn BT-måling	Copenhagen GP Laboratory (KPLL), Døgn bt-måling
1129	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, For fremmøde i lab.	Copenhagen GP Laboratory (KPLL), For fremmøde i lab.
1169	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Grå Bynke IgE;P	Copenhagen GP Laboratory (KPLL), Grå bynke ige;p
1170	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Grå el IgE;P	Copenhagen GP Laboratory (KPLL), Grå el ige;p
1188	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, HR-test Føde;B	Copenhagen GP Laboratory (KPLL), Hr-test føde;b
1194	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Hasselnød IgE;P	Copenhagen GP Laboratory (KPLL), Hasselnød ige;p
1216	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Hjemme BT-måling	Copenhagen GP Laboratory (KPLL), Hjemme bt-måling
1230	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Hvidløg IgE;P	Copenhagen GP Laboratory (KPLL), Hvidløg ige;p
1233	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Hæmokromatosegen	Copenhagen GP Laboratory (KPLL), Hæmokromatosegen
1234	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Hønsekød IgE;P	Copenhagen GP Laboratory (KPLL), Hønsekød ige;p
1245	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Indsendte prøver	Copenhagen GP Laboratory (KPLL), Indsendte prøver
1253	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Jordbær IgE;P	Copenhagen GP Laboratory (KPLL), Jordbær ige;p
1255	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Jordnød IgE;P	Copenhagen GP Laboratory (KPLL), Jordnød ige;p
1268	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Kokosnød IgE;P	Copenhagen GP Laboratory (KPLL), Kokosnød ige;p
1269	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Komælk IgE;P	Copenhagen GP Laboratory (KPLL), Komælk ige;p
1271	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Koskæl IgE;P	Copenhagen GP Laboratory (KPLL), Koskæl ige;p
1279	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Kviksølv;B	Copenhagen GP Laboratory (KPLL), Kviksølv;b
1280	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Kødpanel IgE;P	Copenhagen GP Laboratory (KPLL), Kødpanel ige;p
1311	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Løg IgE;P	Copenhagen GP Laboratory (KPLL), Løg ige;p
1359	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Nøddepanel IgE;P	Copenhagen GP Laboratory (KPLL), Nøddepanel ige;p
1361	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Oksekød IgE;P	Copenhagen GP Laboratory (KPLL), Oksekød ige;p
1377	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Paranød IgE;P	Copenhagen GP Laboratory (KPLL), Paranød ige;p
1384	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Peak flow måling	Copenhagen GP Laboratory (KPLL), Peak flow måling
1387	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Pecannød IgE;P	Copenhagen GP Laboratory (KPLL), Pecannød ige;p
1420	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Præc.Ab x 1;P	Copenhagen GP Laboratory (KPLL), Præc.ab x 1;p
1421	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Præc.Ab x 2;P	Copenhagen GP Laboratory (KPLL), Præc.ab x 2;p
1422	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Præc.Ab x 3;P	Copenhagen GP Laboratory (KPLL), Præc.ab x 3;p
1423	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Præc.Ab x 4;P	Copenhagen GP Laboratory (KPLL), Præc.ab x 4;p
1424	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Prøvetagn. eget hjem	Copenhagen GP Laboratory (KPLL), Prøvetagn. eget home
1425	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Prøvetagn. plejehjem	Copenhagen GP Laboratory (KPLL), Prøvetagn. plejehjem
1426	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Pære IgE;P	Copenhagen GP Laboratory (KPLL), Pære ige;p
1429	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Rajgræs IgE;P	Copenhagen GP Laboratory (KPLL), Rajgræs ige;p
1449	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Rødgran IgE;P	Copenhagen GP Laboratory (KPLL), Rødgran ige;p
1456	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Sesamfrø IgE;P	Copenhagen GP Laboratory (KPLL), Sesamfrø ige;p
1462	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Soyabønne IgE;P	Copenhagen GP Laboratory (KPLL), Soyabønne ige;p
1463	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Spec.hæmatologi	Copenhagen GP Laboratory (KPLL), Specialty.hæmatologi
1476	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Svinekød IgE;P	Copenhagen GP Laboratory (KPLL), Svinekød ige;p
1535	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Valnød IgE;P	Copenhagen GP Laboratory (KPLL), Valnød ige;p
