code,description
LAB_loenmv_13_Q1,Wages and salaries - 1th percentile
LAB_loenmv_13_Q2,Wages and salaries - 2th percentile
LAB_loenmv_13_Q3,Wages and salaries - 3th percentile
LAB_loenmv_13_Q4,Wages and salaries - 4th percentile
LAB_loenmv_13_Q5,Wages and salaries - 5th percentile
LAB_loenmv_13_Q6,Wages and salaries - 6th percentile
LAB_loenmv_13_Q7,Wages and salaries - 7th percentile
LAB_loenmv_13_Q8,Wages and salaries - 8th percentile
LAB_loenmv_13_Q9,Wages and salaries - 9th percentile
LAB_loenmv_13_Q10,Wages and salaries - 10th percentile
LAB_loenmv_13_Q11,Wages and salaries - 11th percentile
LAB_loenmv_13_Q12,Wages and salaries - 12th percentile
LAB_loenmv_13_Q13,Wages and salaries - 13th percentile
LAB_loenmv_13_Q14,Wages and salaries - 14th percentile
LAB_loenmv_13_Q15,Wages and salaries - 15th percentile
LAB_loenmv_13_Q16,Wages and salaries - 16th percentile
LAB_loenmv_13_Q17,Wages and salaries - 17th percentile
LAB_loenmv_13_Q18,Wages and salaries - 18th percentile
LAB_loenmv_13_Q19,Wages and salaries - 19th percentile
LAB_loenmv_13_Q20,Wages and salaries - 20th percentile
LAB_loenmv_13_Q21,Wages and salaries - 21th percentile
LAB_loenmv_13_Q22,Wages and salaries - 22th percentile
LAB_loenmv_13_Q23,Wages and salaries - 23th percentile
LAB_loenmv_13_Q24,Wages and salaries - 24th percentile
LAB_loenmv_13_Q25,Wages and salaries - 25th percentile
LAB_loenmv_13_Q26,Wages and salaries - 26th percentile
LAB_loenmv_13_Q27,Wages and salaries - 27th percentile
LAB_loenmv_13_Q28,Wages and salaries - 28th percentile
LAB_loenmv_13_Q29,Wages and salaries - 29th percentile
LAB_loenmv_13_Q30,Wages and salaries - 30th percentile
LAB_loenmv_13_Q31,Wages and salaries - 31th percentile
LAB_loenmv_13_Q32,Wages and salaries - 32th percentile
LAB_loenmv_13_Q33,Wages and salaries - 33th percentile
LAB_loenmv_13_Q34,Wages and salaries - 34th percentile
LAB_loenmv_13_Q35,Wages and salaries - 35th percentile
LAB_loenmv_13_Q36,Wages and salaries - 36th percentile
LAB_loenmv_13_Q37,Wages and salaries - 37th percentile
LAB_loenmv_13_Q38,Wages and salaries - 38th percentile
LAB_loenmv_13_Q39,Wages and salaries - 39th percentile
LAB_loenmv_13_Q40,Wages and salaries - 40th percentile
LAB_loenmv_13_Q41,Wages and salaries - 41th percentile
LAB_loenmv_13_Q42,Wages and salaries - 42th percentile
LAB_loenmv_13_Q43,Wages and salaries - 43th percentile
LAB_loenmv_13_Q44,Wages and salaries - 44th percentile
LAB_loenmv_13_Q45,Wages and salaries - 45th percentile
LAB_loenmv_13_Q46,Wages and salaries - 46th percentile
LAB_loenmv_13_Q47,Wages and salaries - 47th percentile
LAB_loenmv_13_Q48,Wages and salaries - 48th percentile
LAB_loenmv_13_Q49,Wages and salaries - 49th percentile
LAB_loenmv_13_Q50,Wages and salaries - 50th percentile
LAB_loenmv_13_Q51,Wages and salaries - 51th percentile
LAB_loenmv_13_Q52,Wages and salaries - 52th percentile
LAB_loenmv_13_Q53,Wages and salaries - 53th percentile
LAB_loenmv_13_Q54,Wages and salaries - 54th percentile
LAB_loenmv_13_Q55,Wages and salaries - 55th percentile
LAB_loenmv_13_Q56,Wages and salaries - 56th percentile
LAB_loenmv_13_Q57,Wages and salaries - 57th percentile
LAB_loenmv_13_Q58,Wages and salaries - 58th percentile
LAB_loenmv_13_Q59,Wages and salaries - 59th percentile
LAB_loenmv_13_Q60,Wages and salaries - 60th percentile
LAB_loenmv_13_Q61,Wages and salaries - 61th percentile
LAB_loenmv_13_Q62,Wages and salaries - 62th percentile
LAB_loenmv_13_Q63,Wages and salaries - 63th percentile
LAB_loenmv_13_Q64,Wages and salaries - 64th percentile
LAB_loenmv_13_Q65,Wages and salaries - 65th percentile
LAB_loenmv_13_Q66,Wages and salaries - 66th percentile
LAB_loenmv_13_Q67,Wages and salaries - 67th percentile
LAB_loenmv_13_Q68,Wages and salaries - 68th percentile
LAB_loenmv_13_Q69,Wages and salaries - 69th percentile
LAB_loenmv_13_Q70,Wages and salaries - 70th percentile
LAB_loenmv_13_Q71,Wages and salaries - 71th percentile
LAB_loenmv_13_Q72,Wages and salaries - 72th percentile
LAB_loenmv_13_Q73,Wages and salaries - 73th percentile
LAB_loenmv_13_Q74,Wages and salaries - 74th percentile
LAB_loenmv_13_Q75,Wages and salaries - 75th percentile
LAB_loenmv_13_Q76,Wages and salaries - 76th percentile
LAB_loenmv_13_Q77,Wages and salaries - 77th percentile
LAB_loenmv_13_Q78,Wages and salaries - 78th percentile
LAB_loenmv_13_Q79,Wages and salaries - 79th percentile
LAB_loenmv_13_Q80,Wages and salaries - 80th percentile
LAB_loenmv_13_Q81,Wages and salaries - 81th percentile
LAB_loenmv_13_Q82,Wages and salaries - 82th percentile
LAB_loenmv_13_Q83,Wages and salaries - 83th percentile
LAB_loenmv_13_Q84,Wages and salaries - 84th percentile
LAB_loenmv_13_Q85,Wages and salaries - 85th percentile
LAB_loenmv_13_Q86,Wages and salaries - 86th percentile
LAB_loenmv_13_Q87,Wages and salaries - 87th percentile
LAB_loenmv_13_Q88,Wages and salaries - 88th percentile
LAB_loenmv_13_Q89,Wages and salaries - 89th percentile
LAB_loenmv_13_Q90,Wages and salaries - 90th percentile
LAB_loenmv_13_Q91,Wages and salaries - 91th percentile
LAB_loenmv_13_Q92,Wages and salaries - 92th percentile
LAB_loenmv_13_Q93,Wages and salaries - 93th percentile
LAB_loenmv_13_Q94,Wages and salaries - 94th percentile
LAB_loenmv_13_Q95,Wages and salaries - 95th percentile
LAB_loenmv_13_Q96,Wages and salaries - 96th percentile
LAB_loenmv_13_Q97,Wages and salaries - 97th percentile
LAB_loenmv_13_Q98,Wages and salaries - 98th percentile
LAB_loenmv_13_Q99,Wages and salaries - 99th percentile
LAB_loenmv_13_Q100,Wages and salaries - 100th percentile
