code,description
DEM_laengde_barn_Q2,Birth length/height - 2th percentile (newborns)
DEM_laengde_barn_Q4,Birth length/height - 4th percentile (newborns)
DEM_laengde_barn_Q6,Birth length/height - 6th percentile (newborns)
DEM_laengde_barn_Q8,Birth length/height - 8th percentile (newborns)
DEM_laengde_barn_Q10,Birth length/height - 10th percentile (newborns)
DEM_laengde_barn_Q12,Birth length/height - 12th percentile (newborns)
DEM_laengde_barn_Q14,Birth length/height - 14th percentile (newborns)
DEM_laengde_barn_Q16,Birth length/height - 16th percentile (newborns)
DEM_laengde_barn_Q17,Birth length/height - 17th percentile (newborns)
DEM_laengde_barn_Q19,Birth length/height - 19th percentile (newborns)
DEM_laengde_barn_Q21,Birth length/height - 21th percentile (newborns)
DEM_laengde_barn_Q23,Birth length/height - 23th percentile (newborns)
DEM_laengde_barn_Q25,Birth length/height - 25th percentile (newborns)
DEM_laengde_barn_Q27,Birth length/height - 27th percentile (newborns)
DEM_laengde_barn_Q29,Birth length/height - 29th percentile (newborns)
DEM_laengde_barn_Q31,Birth length/height - 31th percentile (newborns)
DEM_laengde_barn_Q33,Birth length/height - 33th percentile (newborns)
DEM_laengde_barn_Q34,Birth length/height - 34th percentile (newborns)
DEM_laengde_barn_Q36,Birth length/height - 36th percentile (newborns)
DEM_laengde_barn_Q38,Birth length/height - 38th percentile (newborns)
DEM_laengde_barn_Q40,Birth length/height - 40th percentile (newborns)
DEM_laengde_barn_Q42,Birth length/height - 42th percentile (newborns)
DEM_laengde_barn_Q44,Birth length/height - 44th percentile (newborns)
DEM_laengde_barn_Q46,Birth length/height - 46th percentile (newborns)
DEM_laengde_barn_Q48,Birth length/height - 48th percentile (newborns)
DEM_laengde_barn_Q50,Birth length/height - 50th percentile (newborns)
DEM_laengde_barn_Q51,Birth length/height - 51th percentile (newborns)
DEM_laengde_barn_Q53,Birth length/height - 53th percentile (newborns)
DEM_laengde_barn_Q55,Birth length/height - 55th percentile (newborns)
DEM_laengde_barn_Q57,Birth length/height - 57th percentile (newborns)
DEM_laengde_barn_Q59,Birth length/height - 59th percentile (newborns)
DEM_laengde_barn_Q61,Birth length/height - 61th percentile (newborns)
DEM_laengde_barn_Q63,Birth length/height - 63th percentile (newborns)
DEM_laengde_barn_Q65,Birth length/height - 65th percentile (newborns)
DEM_laengde_barn_Q67,Birth length/height - 67th percentile (newborns)
DEM_laengde_barn_Q68,Birth length/height - 68th percentile (newborns)
DEM_laengde_barn_Q70,Birth length/height - 70th percentile (newborns)
DEM_laengde_barn_Q72,Birth length/height - 72th percentile (newborns)
DEM_laengde_barn_Q74,Birth length/height - 74th percentile (newborns)
DEM_laengde_barn_Q76,Birth length/height - 76th percentile (newborns)
DEM_laengde_barn_Q78,Birth length/height - 78th percentile (newborns)
DEM_laengde_barn_Q80,Birth length/height - 80th percentile (newborns)
DEM_laengde_barn_Q82,Birth length/height - 82th percentile (newborns)
DEM_laengde_barn_Q84,Birth length/height - 84th percentile (newborns)
DEM_laengde_barn_Q85,Birth length/height - 85th percentile (newborns)
DEM_laengde_barn_Q87,Birth length/height - 87th percentile (newborns)
DEM_laengde_barn_Q89,Birth length/height - 89th percentile (newborns)
DEM_laengde_barn_Q91,Birth length/height - 91th percentile (newborns)
DEM_laengde_barn_Q93,Birth length/height - 93th percentile (newborns)
DEM_laengde_barn_Q95,Birth length/height - 95th percentile (newborns)
DEM_laengde_barn_Q97,Birth length/height - 97th percentile (newborns)
DEM_laengde_barn_Q99,Birth length/height - 99th percentile (newborns)
