code,description
LAB_netovskud_13_Q1,Net surplus/profit - 1th percentile
LAB_netovskud_13_Q2,Net surplus/profit - 2th percentile
LAB_netovskud_13_Q3,Net surplus/profit - 3th percentile
LAB_netovskud_13_Q4,Net surplus/profit - 4th percentile
LAB_netovskud_13_Q5,Net surplus/profit - 5th percentile
LAB_netovskud_13_Q6,Net surplus/profit - 6th percentile
LAB_netovskud_13_Q7,Net surplus/profit - 7th percentile
LAB_netovskud_13_Q8,Net surplus/profit - 8th percentile
LAB_netovskud_13_Q9,Net surplus/profit - 9th percentile
LAB_netovskud_13_Q10,Net surplus/profit - 10th percentile
LAB_netovskud_13_Q11,Net surplus/profit - 11th percentile
LAB_netovskud_13_Q12,Net surplus/profit - 12th percentile
LAB_netovskud_13_Q13,Net surplus/profit - 13th percentile
LAB_netovskud_13_Q14,Net surplus/profit - 14th percentile
LAB_netovskud_13_Q15,Net surplus/profit - 15th percentile
LAB_netovskud_13_Q16,Net surplus/profit - 16th percentile
LAB_netovskud_13_Q17,Net surplus/profit - 17th percentile
LAB_netovskud_13_Q18,Net surplus/profit - 18th percentile
LAB_netovskud_13_Q19,Net surplus/profit - 19th percentile
LAB_netovskud_13_Q20,Net surplus/profit - 20th percentile
LAB_netovskud_13_Q21,Net surplus/profit - 21th percentile
LAB_netovskud_13_Q22,Net surplus/profit - 22th percentile
LAB_netovskud_13_Q23,Net surplus/profit - 23th percentile
LAB_netovskud_13_Q24,Net surplus/profit - 24th percentile
LAB_netovskud_13_Q25,Net surplus/profit - 25th percentile
LAB_netovskud_13_Q26,Net surplus/profit - 26th percentile
LAB_netovskud_13_Q27,Net surplus/profit - 27th percentile
LAB_netovskud_13_Q28,Net surplus/profit - 28th percentile
LAB_netovskud_13_Q29,Net surplus/profit - 29th percentile
LAB_netovskud_13_Q30,Net surplus/profit - 30th percentile
LAB_netovskud_13_Q31,Net surplus/profit - 31th percentile
LAB_netovskud_13_Q32,Net surplus/profit - 32th percentile
LAB_netovskud_13_Q33,Net surplus/profit - 33th percentile
LAB_netovskud_13_Q34,Net surplus/profit - 34th percentile
LAB_netovskud_13_Q35,Net surplus/profit - 35th percentile
LAB_netovskud_13_Q36,Net surplus/profit - 36th percentile
LAB_netovskud_13_Q37,Net surplus/profit - 37th percentile
LAB_netovskud_13_Q38,Net surplus/profit - 38th percentile
LAB_netovskud_13_Q39,Net surplus/profit - 39th percentile
LAB_netovskud_13_Q40,Net surplus/profit - 40th percentile
LAB_netovskud_13_Q41,Net surplus/profit - 41th percentile
LAB_netovskud_13_Q42,Net surplus/profit - 42th percentile
LAB_netovskud_13_Q43,Net surplus/profit - 43th percentile
LAB_netovskud_13_Q44,Net surplus/profit - 44th percentile
LAB_netovskud_13_Q45,Net surplus/profit - 45th percentile
LAB_netovskud_13_Q46,Net surplus/profit - 46th percentile
LAB_netovskud_13_Q47,Net surplus/profit - 47th percentile
LAB_netovskud_13_Q48,Net surplus/profit - 48th percentile
LAB_netovskud_13_Q49,Net surplus/profit - 49th percentile
LAB_netovskud_13_Q50,Net surplus/profit - 50th percentile
LAB_netovskud_13_Q51,Net surplus/profit - 51th percentile
LAB_netovskud_13_Q52,Net surplus/profit - 52th percentile
LAB_netovskud_13_Q53,Net surplus/profit - 53th percentile
LAB_netovskud_13_Q54,Net surplus/profit - 54th percentile
LAB_netovskud_13_Q55,Net surplus/profit - 55th percentile
LAB_netovskud_13_Q56,Net surplus/profit - 56th percentile
LAB_netovskud_13_Q57,Net surplus/profit - 57th percentile
LAB_netovskud_13_Q58,Net surplus/profit - 58th percentile
LAB_netovskud_13_Q59,Net surplus/profit - 59th percentile
LAB_netovskud_13_Q60,Net surplus/profit - 60th percentile
LAB_netovskud_13_Q61,Net surplus/profit - 61th percentile
LAB_netovskud_13_Q62,Net surplus/profit - 62th percentile
LAB_netovskud_13_Q63,Net surplus/profit - 63th percentile
LAB_netovskud_13_Q64,Net surplus/profit - 64th percentile
LAB_netovskud_13_Q65,Net surplus/profit - 65th percentile
LAB_netovskud_13_Q66,Net surplus/profit - 66th percentile
LAB_netovskud_13_Q67,Net surplus/profit - 67th percentile
LAB_netovskud_13_Q68,Net surplus/profit - 68th percentile
LAB_netovskud_13_Q69,Net surplus/profit - 69th percentile
LAB_netovskud_13_Q70,Net surplus/profit - 70th percentile
LAB_netovskud_13_Q71,Net surplus/profit - 71th percentile
LAB_netovskud_13_Q72,Net surplus/profit - 72th percentile
LAB_netovskud_13_Q73,Net surplus/profit - 73th percentile
LAB_netovskud_13_Q74,Net surplus/profit - 74th percentile
LAB_netovskud_13_Q75,Net surplus/profit - 75th percentile
LAB_netovskud_13_Q76,Net surplus/profit - 76th percentile
LAB_netovskud_13_Q77,Net surplus/profit - 77th percentile
LAB_netovskud_13_Q78,Net surplus/profit - 78th percentile
LAB_netovskud_13_Q79,Net surplus/profit - 79th percentile
LAB_netovskud_13_Q80,Net surplus/profit - 80th percentile
LAB_netovskud_13_Q81,Net surplus/profit - 81th percentile
LAB_netovskud_13_Q82,Net surplus/profit - 82th percentile
LAB_netovskud_13_Q83,Net surplus/profit - 83th percentile
LAB_netovskud_13_Q84,Net surplus/profit - 84th percentile
LAB_netovskud_13_Q85,Net surplus/profit - 85th percentile
LAB_netovskud_13_Q86,Net surplus/profit - 86th percentile
LAB_netovskud_13_Q87,Net surplus/profit - 87th percentile
