code,description
LAB_nace_0,Ikke oplyst
LAB_nace_01,"Landbrug, jagt og tilknyttede aktiviteter"
LAB_nace_011,Landbrug og tilknyttede aktiviteter
LAB_nace_0111,"Dyrkning af korn (undtagen ris), bælgfrugter og oliefrø"
LAB_nace_01111,Dyrkning af korn undtagen ris
LAB_nace_11110,Kornavl
LAB_nace_11190,Agerbrug i øvrigt
LAB_nace_0112,Dyrkning af ris
LAB_nace_0113,Dyrkning af grøntsager og melon samt rod- og knoldfrugter
LAB_nace_01131,Dyrkning af grøntsager
LAB_nace_11210,Gartnerier
LAB_nace_11220,Planteskoler
LAB_nace_0114,Dyrkning af sukkerrør
LAB_nace_0115,Dyrkning af tobak
LAB_nace_0116,Dyrkning af fiberafgrøder
LAB_nace_0119,Dyrkning af andre etårige afgrøder
LAB_nace_012,Dyrkning af flerårige afgrøder
LAB_nace_0121,Dyrkning af druer
LAB_nace_0122,Dyrkning af tropiske og subtropiske frugter
LAB_nace_0123,Dyrkning af citrusfrugter
LAB_nace_0124,Dyrkning af kernefrugt og stenfrugt
LAB_nace_0125,Dyrkning af andre træfrugter og buske
LAB_nace_0126,Dyrkning af nødder
LAB_nace_0127,"Dyrkning af krydderier, medicinplanter og farmaceutiske afgrøder"
LAB_nace_0128,Dyrkning af andre flerårige afgrøder
LAB_nace_11300,Dyrkning af frugt og bær
LAB_nace_013,Planteformering
LAB_nace_0130,Planteformering
LAB_nace_014,Husdyravl
LAB_nace_0141,Mælkekvæg
LAB_nace_12110,Malkekvæghold
LAB_nace_0142,Andet kvæg og bøfler
LAB_nace_12190,Anden kvægavl
LAB_nace_0143,Heste og andre hovdyr
LAB_nace_12210,Stutterier
LAB_nace_0144,Kameler og kamelider
LAB_nace_0145,Fåre- og gedeavl
LAB_nace_12220,Fåre- og gedeavl
LAB_nace_0146,Svineavl
LAB_nace_12300,Svineavl
LAB_nace_0147,Fjerkræavl
LAB_nace_12400,Fjerkræavl
