code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level,n_occurrences,n_people,pct_people,program_group,is_primary_code
HEA_ICD10_DI471,HEA,ICD10,DI471,Supraventrikulær takykardi med smalle QRS-komplekser,Supraventrikulær takykardi med smalle QRS-komplekser,,,Supraventricular tachycardia,Supraventricular tachycardia,who-icd10,who-icd10,CSV:HEA_ICD10,medium,danish,HEA_ICD10_DI47,category,141421,68668,0.007606,,
HEA_ICD10_DZ016,HEA,ICD10,DZ016,Kontakt mhp. radiologisk undersøgelse,Kontakt mhp. radiologisk undersøgelse,,,"Radiological examination, not elsewhere classified","Radiological examination, not elsewhere classified",who-icd10,who-icd10,CSV:HEA_ICD10,medium,danish,HEA_ICD10_DZ01,category,28398229,4867513,0.539117,,
HEA_ICD10_DG4732,HEA,ICD10,DG4732,Obstruktiv søvnapnø,Obstruktiv søvnapnø,,,Obstructive sleep apnea,Sleep disorders,who-icd10-parent,translated,CSV:HEA_ICD10,medium,danish,HEA_ICD10_DG473,subcategory,205854,58070,0.006432,,
HEA_ICD10_DH919,HEA,ICD10,DH919,Høretab UNS,Høretab UNS,,,"Hearing loss, unspecified","Hearing loss, unspecified",who-icd10,who-icd10,CSV:HEA_ICD10,medium,danish,HEA_ICD10_DH91,category,734228,265142,0.029367,,
HEA_ICD10_DZ966B,HEA,ICD10,DZ966B,Tilstand med knæledsprotese,Tilstand med knæledsprotese,,,Status with knee prosthesis,Presence of other functional implants,who-icd10-parent,translated,CSV:HEA_ICD10,medium,danish,HEA_ICD10_DZ966,subcategory,57325,26092,0.00289,,
HEA_ICD10_DZ950C,HEA,ICD10,DZ950C,Tilstand med kardioverter-defibrillator (ICD),Tilstand med kardioverter-defibrillator (ICD),,,Status with implantable cardioverter-defibrillator (ICD),Presence of cardiac and vascular implants and grafts,who-icd10-parent,translated,CSV:HEA_ICD10,medium,danish,HEA_ICD10_DZ950,subcategory,67450,13976,0.001548,,
HEA_ICD10_DZ035A,HEA,ICD10,DZ035A,Observation pga. mistanke om arytmi,Observation pga. mistanke om arytmi,,,Observation due to suspicion of arrhythmia,"Medical observation and evaluation for suspected diseases and conditions, ruled out",who-icd10-parent,translated,CSV:HEA_ICD10,medium,danish,HEA_ICD10_DZ035,subcategory,194156,119368,0.013221,,
HEA_ICD10_DS860,HEA,ICD10,DS860,Læsion af akillessene,Læsion af akillessene,,,Injury of Achilles tendon,Injury of Achilles tendon,who-icd10,who-icd10,CSV:HEA_ICD10,medium,danish,HEA_ICD10_DS86,category,86161,38329,0.004245,,
HEA_ICD10_DZ099,HEA,ICD10,DZ099,Kontrolundersøgelse efter behandling af anden tilstand UNS,Kontrolundersøgelse efter behandling af anden tilstand UNS,,,Follow-up examination after unspecified treatment for other conditions,Follow-up examination after unspecified treatment for other conditions,who-icd10,who-icd10,CSV:HEA_ICD10,medium,danish,HEA_ICD10_DZ09,category,258185,193127,0.02139,,
HEA_ICD10_DG473,HEA,ICD10,DG473,Søvnapnø,Søvnapnø,,,Sleep apnoea,Sleep apnoea,who-icd10,who-icd10,CSV:HEA_ICD10,medium,danish,HEA_ICD10_DG47,category,354300,93470,0.010353,,
