code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level
DEM_laengde_barn_Q59,DEM,laengde,barn_Q59,Birth length/height - 59th percentile (newborns),Fødselslængde/-højde – 59. percentil (nyfødte),,,Birth length/height - 59th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,
DEM_laengde_barn_Q68,DEM,laengde,barn_Q68,Birth length/height - 68th percentile (newborns),Fødselslængde/-højde – 68. percentil (nyfødte),,,Birth length/height - 68th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,
DEM_laengde_barn_Q61,DEM,laengde,barn_Q61,Birth length/height - 61th percentile (newborns),Fødselslængde/-højde – 61. percentil (nyfødte),,,Birth length/height - 61th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,
DEM_laengde_barn_Q65,DEM,laengde,barn_Q65,Birth length/height - 65th percentile (newborns),Fødselslængde/-højde – 65. percentil (nyfødte),,,Birth length/height - 65th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,
DEM_laengde_barn_Q63,DEM,laengde,barn_Q63,Birth length/height - 63th percentile (newborns),Fødselslængde/-højde – 63. percentil (nyfødte),,,Birth length/height - 63th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,
DEM_laengde_barn_Q72,DEM,laengde,barn_Q72,Birth length/height - 72th percentile (newborns),Fødselslængde/-højde – 72. percentil (nyfødte),,,Birth length/height - 72th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,
DEM_laengde_barn_Q55,DEM,laengde,barn_Q55,Birth length/height - 55th percentile (newborns),Fødselslængde/-højde – 55. percentil (nyfødte),,,Birth length/height - 55th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,
DEM_laengde_barn_Q67,DEM,laengde,barn_Q67,Birth length/height - 67th percentile (newborns),Fødselslængde/-højde – 67. percentil (nyfødte),,,Birth length/height - 67th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,
DEM_laengde_barn_Q57,DEM,laengde,barn_Q57,Birth length/height - 57th percentile (newborns),Fødselslængde/-højde – 57. percentil (nyfødte),,,Birth length/height - 57th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,
DEM_laengde_barn_Q70,DEM,laengde,barn_Q70,Birth length/height - 70th percentile (newborns),Fødselslængde/-højde – 70. percentil (nyfødte),,,Birth length/height - 70th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,
DEM_laengde_barn_Q74,DEM,laengde,barn_Q74,Birth length/height - 74th percentile (newborns),Fødselslængde/-højde – 74. percentil (nyfødte),,,Birth length/height - 74th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,
DEM_laengde_barn_Q51,DEM,laengde,barn_Q51,Birth length/height - 51th percentile (newborns),Fødselslængde/-højde – 51. percentil (nyfødte),,,Birth length/height - 51th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,
DEM_laengde_barn_Q48,DEM,laengde,barn_Q48,Birth length/height - 48th percentile (newborns),Fødselslængde/-højde – 48. percentil (nyfødte),,,Birth length/height - 48th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,
DEM_laengde_barn_Q76,DEM,laengde,barn_Q76,Birth length/height - 76th percentile (newborns),Fødselslængde/-højde – 76. percentil (nyfødte),,,Birth length/height - 76th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,
DEM_laengde_barn_Q36,DEM,laengde,barn_Q36,Birth length/height - 36th percentile (newborns),Fødselslængde/-højde – 36. percentil (nyfødte),,,Birth length/height - 36th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,
DEM_laengde_barn_Q53,DEM,laengde,barn_Q53,Birth length/height - 53th percentile (newborns),Fødselslængde/-højde – 53. percentil (nyfødte),,,Birth length/height - 53th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,
DEM_laengde_barn_Q42,DEM,laengde,barn_Q42,Birth length/height - 42th percentile (newborns),Fødselslængde/-højde – 42. percentil (nyfødte),,,Birth length/height - 42th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,
DEM_laengde_barn_Q50,DEM,laengde,barn_Q50,Birth length/height - 50th percentile (newborns),Fødselslængde/-højde – 50. percentil (nyfødte),,,Birth length/height - 50th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,
DEM_laengde_barn_Q21,DEM,laengde,barn_Q21,Birth length/height - 21th percentile (newborns),Fødselslængde/-højde – 21. percentil (nyfødte),,,Birth length/height - 21th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,
DEM_laengde_barn_Q31,DEM,laengde,barn_Q31,Birth length/height - 31th percentile (newborns),Fødselslængde/-højde – 31. percentil (nyfødte),,,Birth length/height - 31th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,
DEM_laengde_barn_Q40,DEM,laengde,barn_Q40,Birth length/height - 40th percentile (newborns),Fødselslængde/-højde – 40. percentil (nyfødte),,,Birth length/height - 40th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,
DEM_laengde_barn_Q44,DEM,laengde,barn_Q44,Birth length/height - 44th percentile (newborns),Fødselslængde/-højde – 44. percentil (nyfødte),,,Birth length/height - 44th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,
DEM_laengde_barn_Q17,DEM,laengde,barn_Q17,Birth length/height - 17th percentile (newborns),Fødselslængde/-højde – 17. percentil (nyfødte),,,Birth length/height - 17th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,
