code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level,n_occurrences,n_people,pct_people
SOC_ansted_klas_11,SOC,ansted,klas_11,Kost- og eller efterskole,Kost- og eller efterskole,,,Boarding school or after-school program,,,translated,CSV:SOC_ansted_klas,medium,danish,,,73848,35283,0.003908
SOC_ansted_klas_13,SOC,ansted,klas_13,Skibsprojekt,Skibsprojekt,,,Ship project,,,translated,CSV:SOC_ansted_klas,medium,danish,,,3843,1932,0.000214
SOC_ansted_klas_09,SOC,ansted,klas_09,"Døgninstitution, almindelig afdeling","Døgninstitution, almindelig afdeling",,,"Day institution, general department",,,translated,CSV:SOC_ansted_klas,medium,danish,,,198973,76754,0.008501
SOC_ansted_klas_06,SOC,ansted,klas_06,"Eget værelse, kollegium, kollegielignende opholdssted","Eget værelse, kollegium, kollegielignende opholdssted",,,"Own room, college, college-like accommodation",,,translated,CSV:SOC_ansted_klas,medium,danish,,,62759,26051,0.002885
SOC_ansted_klas_02,SOC,ansted,klas_02,"Almindelig plejefamilie, generelt godkendt","Almindelig plejefamilie, generelt godkendt",,,"Ordinary foster family, generally approved",,,translated,CSV:SOC_ansted_klas,medium,danish,,,138957,53605,0.005937
SOC_ansted_klas_98,SOC,ansted,klas_98,98 Sygehus,98 Sygehus,,,98 Hospital,,,translated,CSV:SOC_ansted_klas,medium,danish,,,761,494,5.5e-05
SOC_ansted_klas_12,SOC,ansted,klas_12,Socialpædagogisk opholdssted,Socialpædagogisk opholdssted,,,Social pedagogical stay,,,translated,CSV:SOC_ansted_klas,medium,danish,,,78031,29192,0.003233
SOC_ansted_klas_14,SOC,ansted,klas_14,almindelig plejefamilie (indtil 2014),almindelig plejefamilie (indtil 2014),,,General care family (until 2014),,,translated,CSV:SOC_ansted_klas,medium,danish,,,34678,12266,0.001359
SOC_ansted_klas_16,SOC,ansted,klas_16,kommunalt døgntilbud (2006-2009),kommunalt døgntilbud (2006-2009),,,Municipal day offer (2006-2009),,,translated,CSV:SOC_ansted_klas,medium,danish,,,5686,2233,0.000247
SOC_ansted_klas_01,SOC,ansted,klas_01,Netværksplejefamilie (incl. Slægtsanbringelse),Netværksplejefamilie (incl. Slægtsanbringelse),,,Network care family (including kinship placement),,,translated,CSV:SOC_ansted_klas,medium,danish,,,12433,4423,0.00049
SOC_ansted_klas_99,SOC,ansted,klas_99,99 Uoplyst/ikke relevant,99 Uoplyst/ikke relevant,,,99 Unspecified/irrelevant,,,translated,CSV:SOC_ansted_klas,medium,danish,,,5314,3074,0.00034
SOC_ansted_klas_17,SOC,ansted,klas_17,17 akutinstitution (2006-2009),17 akutinstitution (2006-2009),,,17 acute institution (2006-2009),,,translated,CSV:SOC_ansted_klas,medium,danish,,,3048,1235,0.000137
SOC_ansted_klas_03,SOC,ansted,klas_03,"Almindelig plejefamilie, konkret godkendt","Almindelig plejefamilie, konkret godkendt",,,"Ordinary foster family, specifically approved",,,translated,CSV:SOC_ansted_klas,medium,danish,,,1825,822,9.1e-05
SOC_ansted_klas_08,SOC,ansted,klas_08,"Døgninstitution, sikret afdeling","Døgninstitution, sikret afdeling",,,"Day institution, secured department",,,translated,CSV:SOC_ansted_klas,medium,danish,,,5123,1805,0.0002
SOC_ansted_klas_15,SOC,ansted,klas_15,kommunal plejefamilie (fra 2011),kommunal plejefamilie (fra 2011),,,municipal foster family (from 2011),,,translated,CSV:SOC_ansted_klas,medium,danish,,,1029,438,4.9e-05
SOC_ansted_klas_04,SOC,ansted,klas_04,"Kommunal plejefamilie, generelt godkendt","Kommunal plejefamilie, generelt godkendt",,,"Municipal foster family, generally approved",,,translated,CSV:SOC_ansted_klas,medium,danish,,,1298,576,6.4e-05
SOC_ansted_klas_10,SOC,ansted,klas_10,Døgninstitution for børn og unge med nedsat fysisk eller psykisk funktionsevne,Døgninstitution for børn og unge med nedsat fysisk eller psykisk funktionsevne,,,Day institution for children and youth with reduced physical or mental functional ability,,,translated,CSV:SOC_ansted_klas,medium,danish,,,1370,541,6e-05
SOC_ansted_klas_07,SOC,ansted,klas_07,Delvis lukket døgninstitution eller delvis lukket afdeling på åben døgninstitution,Delvis lukket døgninstitution eller delvis lukket afdeling på åben døgninstitution,,,Partially closed day institution or partially closed ward at an open day institution,,,translated,CSV:SOC_ansted_klas,medium,danish,,,703,313,3.5e-05
SOC_ansted_klas_18,SOC,ansted,klas_18,18 Netværksplejefamilie efter § 76 a (unge medfunktionsnedsættelse),18 Netværksplejefamilie efter § 76 a (unge medfunktionsnedsættelse),,,18 Network foster family under § 76 a (youth with functional impairment),,,translated,CSV:SOC_ansted_klas,medium,danish,,,344,149,1.7e-05
SOC_ansted_klas_21,SOC,ansted,klas_21,21 Almen plejefamilie,21 Almen plejefamilie,,,21 General foster family,,,translated,CSV:SOC_ansted_klas,medium,danish,,,8085,4380,0.000485
SOC_ansted_klas_23,SOC,ansted,klas_23,23 Forstærket plejefamilie,23 Forstærket plejefamilie,,,23 Enhanced foster family,,,translated,CSV:SOC_ansted_klas,medium,danish,,,6732,3787,0.000419
SOC_ansted_klas_19,SOC,ansted,klas_19,19 Almindelig plejefamilie efter § 76 a (unge medfunktionsnedsættelse),19 Almindelig plejefamilie efter § 76 a (unge medfunktionsnedsættelse),,,19 Ordinary foster family under § 76 a (youth with functional impairment),,,translated,CSV:SOC_ansted_klas,medium,danish,,,171,78,9e-06
SOC_ansted_klas_05,SOC,ansted,klas_05,"Kommunal plejefamilie, konkret godkendt","Kommunal plejefamilie, konkret godkendt",,,"Municipal foster family, specifically approved",,,translated,CSV:SOC_ansted_klas,medium,danish,,,241,121,1.3e-05
SOC_ansted_klas_24,SOC,ansted,klas_24,"24 Forstærket plejefamilie, unge med funktionsnedsættelse","24 Forstærket plejefamilie, unge med funktionsnedsættelse",,,"24 Enhanced foster family, youth with functional impairment",,,translated,CSV:SOC_ansted_klas,medium,danish,,,111,98,1.1e-05
SOC_ansted_klas_22,SOC,ansted,klas_22,"22 Almen plejefamilie, unge med funktionsnedsættelse","22 Almen plejefamilie, unge med funktionsnedsættelse",,,"22 General foster family, youth with functional impairment",,,translated,CSV:SOC_ansted_klas,medium,danish,,,114,92,1e-05
SOC_ansted_klas_25,SOC,ansted,klas_25,25 Specialiseret plejefamilie,25 Specialiseret plejefamilie,,,25 Specialised foster family,,,translated,CSV:SOC_ansted_klas,medium,danish,,,873,480,5.3e-05
SOC_ansted_klas_26,SOC,ansted,klas_26,"26 Specialiseret plejefamilie, unge med funktionsnedsættelse","26 Specialiseret plejefamilie, unge med funktionsnedsættelse",,,"26 Specialized care family, young with disabilities",,,translated,CSV:SOC_ansted_klas,medium,danish,,,15,13,1e-06
SOC_ansted_klas_27,SOC,ansted,klas_27,"27 Almindelig plejefamilie, konkret godkendt, unge med funktionsnedsættelse","27 Almindelig plejefamilie, konkret godkendt, unge med funktionsnedsættelse",,,"27 General care family, specifically approved, young with disabilities",,,translated,CSV:SOC_ansted_klas,medium,danish,,,18,12,1e-06
SOC_ansted_klas_28,SOC,ansted,klas_28,"28 Almindelig plejefamilie, generelt godkendt, unge med funktionsnedsættelse","28 Almindelig plejefamilie, generelt godkendt, unge med funktionsnedsættelse",,,"28 General care family, generally approved, young with disabilities",,,translated,CSV:SOC_ansted_klas,medium,danish,,,46,27,3e-06
SOC_ansted_klas_29,SOC,ansted,klas_29,"29 Kommunal plejefamilie, generelt godkendt, unge med funktionsnedsættelse","29 Kommunal plejefamilie, generelt godkendt, unge med funktionsnedsættelse",,,"29 Municipal care family, generally approved, young with disabilities",,,translated,CSV:SOC_ansted_klas,medium,danish,,,2,1,0.0
SOC_ansted_klas_30,SOC,ansted,klas_30,"30 Kommunal plejefamilie, konkret godkendt, unge med funktionsnedsættelse","30 Kommunal plejefamilie, konkret godkendt, unge med funktionsnedsættelse",,,"30 Municipal care family, specifically approved, young with disabilities",,,translated,CSV:SOC_ansted_klas,medium,danish,,,2,1,0.0
SOC_ansted_klas_20,SOC,ansted,klas_20,20 Kommunal plejefamilie efter § 76 a (unge medfunktionsnedsættelse),20 Kommunal plejefamilie efter § 76 a (unge medfunktionsnedsættelse),,,20 Municipal care family under § 76 a (young with disabilities),,,translated,CSV:SOC_ansted_klas,medium,danish,,,33,16,2e-06
