code,prefix,database,value,description,description_da,description_da_alt,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level
EDU_field_102010,EDU,field,102010,Grundskole 7. klasse og opefter,Grundskole 7. klasse og opefter,,Primary School 7th Grade and Beyond,,,translated,raw_edu_field,medium,danish,,
EDU_field_573015,EDU,field,573015,"Maskinteknik, betjening og vedligeholdelse","Maskinteknik, betjening og vedligeholdelse",,"Mechanical Engineering, Operation, and Maintenance",,,translated,raw_edu_field,medium,danish,,
EDU_field_554020,EDU,field,554020,Maskinmester,Maskinmester,,Marine engineer,,,translated,raw_edu_field,medium,danish,,
EDU_field_401010,EDU,field,401010,Erhvervsøkonomi og administration u.n.a.,Erhvervsøkonomi og administration u.n.a.,,Business Economics and Administration n.e.c.,,,translated,raw_edu_field,medium,danish,,
EDU_field_404015,EDU,field,404015,Detailhandel,Detailhandel,,Retail trade,,,translated,raw_edu_field,medium,danish,,
EDU_field_121010,EDU,field,121010,"Almengymnasiale, matematisk","Almengymnasiale, matematisk",,General High School Mathematics,,,translated,raw_edu_field,medium,danish,,
EDU_field_453010,EDU,field,453010,Farmaci og lægemiddelvidenskab,Farmaci og lægemiddelvidenskab,,Pharmacy and Pharmaceutical Science,,,translated,raw_edu_field,medium,danish,,
EDU_field_652010,EDU,field,652010,Lægevidenskab,Lægevidenskab,,Medical Science,,,translated,raw_edu_field,medium,danish,,
EDU_field_802010,EDU,field,802010,"Havne, lager og terminal","Havne, lager og terminal",,"Ports, Warehouses, and Terminals",,,translated,raw_edu_field,medium,danish,,
EDU_field_551010,EDU,field,551010,Teknik og industriel produktion u.n.a.,Teknik og industriel produktion u.n.a.,,Technology and Industrial Production n.e.c.,,,translated,raw_edu_field,medium,danish,,
EDU_field_551510,EDU,field,551510,Teknologi u.n.a.,Teknologi u.n.a.,,Teknologi u.n.a.,,,copy-of-da,raw_edu_field,medium,danish,,
EDU_field_553510,EDU,field,553510,Elektronik og automation u.n.a.,Elektronik og automation u.n.a.,,Electronics and Automation n.e.c.,,,translated,raw_edu_field,medium,danish,,
EDU_field_571010,EDU,field,571010,"Mekanik, jern og metal u.n.a.","Mekanik, jern og metal u.n.a.",,"Mechanics, Iron, and Metal n.e.c.",,,translated,raw_edu_field,medium,danish,,
EDU_field_803010,EDU,field,803010,Chauffør u.n.a.,Chauffør u.n.a.,,"Driver, u.n.a.",,,translated,raw_edu_field,medium,danish,,
EDU_field_803015,EDU,field,803015,"Chauffør, godstransport","Chauffør, godstransport",,"Driver, freight transport",,,translated,raw_edu_field,medium,danish,,
EDU_field_121030,EDU,field,121030,"Almengymnasiale, ikke linjeopdelt","Almengymnasiale, ikke linjeopdelt",,"General high school, undivided",,,translated,raw_edu_field,medium,danish,,
EDU_field_203510,EDU,field,203510,"Læreruddannelse, grundskole","Læreruddannelse, grundskole",,"Teacher training, primary school",,,translated,raw_edu_field,medium,danish,,
EDU_field_656510,EDU,field,656510,Pædagogiske grunduddannelser,Pædagogiske grunduddannelser,,Basic pedagogical educations,,,translated,raw_edu_field,medium,danish,,
EDU_field_702530,EDU,field,702530,Hotelreception og -service,Hotelreception og -service,,Hotel reception and service,,,translated,raw_edu_field,medium,danish,,
EDU_field_701010,EDU,field,701010,Service u.n.a.,Service u.n.a.,,Service u.n.a.,,,copy-of-da,raw_edu_field,medium,danish,,
EDU_field_403510,EDU,field,403510,Kontor- og sekretæruddannelser,Kontor- og sekretæruddannelser,,Office and secretarial educations,,,translated,raw_edu_field,medium,danish,,
EDU_field_122010,EDU,field,122010,Erhvervsgymnasiale,Erhvervsgymnasiale,,Vocational upper-secondary,,,translated,raw_edu_field,medium,danish,,
EDU_field_121020,EDU,field,121020,"Almengymnasiale, sproglig","Almengymnasiale, sproglig",,"General high school, linguistic",,,translated,raw_edu_field,medium,danish,,
EDU_field_554015,EDU,field,554015,"Teknologi, tværfaglige uddannelser i øvrigt","Teknologi, tværfaglige uddannelser i øvrigt",,"Technology, interdisciplinary programs otherwise",,,translated,raw_edu_field,medium,danish,,
EDU_field_402010,EDU,field,402010,Finans og bank,Finans og bank,,Finance and banking,,,translated,raw_edu_field,medium,danish,,
EDU_field_552010,EDU,field,552010,Laboratorieteknik - kemisk industri,Laboratorieteknik - kemisk industri,,Laboratory technology — chemical industry,,,translated,raw_edu_field,medium,danish,,
EDU_field_653520,EDU,field,653520,Optometri,Optometri,,Optometri,,,copy-of-da,raw_edu_field,medium,danish,,
EDU_field_574020,EDU,field,574020,Karosserismed og karosseriteknik,Karosserismed og karosseriteknik,,Car Body Repair and Car Body Technology,,,translated,raw_edu_field,medium,danish,,
EDU_field_404010,EDU,field,404010,Engroshandel,Engroshandel,,Wholesale trade,,,translated,raw_edu_field,medium,danish,,
EDU_field_656515,EDU,field,656515,"Pædagoguddannelser, børn og unge","Pædagoguddannelser, børn og unge",,Early Childhood and Youth Education Programs,,,translated,raw_edu_field,medium,danish,,
EDU_field_604010,EDU,field,604010,Veterinærsygepleje,Veterinærsygepleje,,Veterinary Nursing,,,translated,raw_edu_field,medium,danish,,
EDU_field_251510,EDU,field,251510,Teologi,Teologi,,Theology,,,translated,raw_edu_field,medium,danish,,
EDU_field_657010,EDU,field,657010,Social rådgivning og socialformidling,Social rådgivning og socialformidling,,Social Counseling and Social Outreach,,,translated,raw_edu_field,medium,danish,,
EDU_field_555010,EDU,field,555010,Fødevareindustri u.n.a.,Fødevareindustri u.n.a.,,Food Industry etc.,,,translated,raw_edu_field,medium,danish,,
