code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level,n_occurrences,n_people,pct_people
LAB_dagpenge_kontant_13_Q15,LAB,dagpenge,kontant_13_Q15,Dagpenge og kontanthjælp mv. i alt — 15/100 kvantil,Dagpenge og kontanthjælp mv. i alt — 15/100 kvantil,,,"Unemployment and cash benefits etc. combined (dagpenge, kontanthjælp, sygedagpenge, barsel) — 15/100 quantile",,,dst_times_dagpenge_kontant_13,generated:quantile_percentile,high,english,,,541096,492120,0.054506
LAB_dagpenge_kontant_13_Q4,LAB,dagpenge,kontant_13_Q4,Dagpenge og kontanthjælp mv. i alt — 4/100 kvantil,Dagpenge og kontanthjælp mv. i alt — 4/100 kvantil,,,"Unemployment and cash benefits etc. combined (dagpenge, kontanthjælp, sygedagpenge, barsel) — 4/100 quantile",,,dst_times_dagpenge_kontant_13,generated:quantile_percentile,high,english,,,1495386,1150857,0.127467
LAB_dagpenge_kontant_13_Q6,LAB,dagpenge,kontant_13_Q6,Dagpenge og kontanthjælp mv. i alt — 6/100 kvantil,Dagpenge og kontanthjælp mv. i alt — 6/100 kvantil,,,"Unemployment and cash benefits etc. combined (dagpenge, kontanthjælp, sygedagpenge, barsel) — 6/100 quantile",,,dst_times_dagpenge_kontant_13,generated:quantile_percentile,high,english,,,1380801,1086463,0.120335
LAB_dagpenge_kontant_13_Q11,LAB,dagpenge,kontant_13_Q11,Dagpenge og kontanthjælp mv. i alt — 11/100 kvantil,Dagpenge og kontanthjælp mv. i alt — 11/100 kvantil,,,"Unemployment and cash benefits etc. combined (dagpenge, kontanthjælp, sygedagpenge, barsel) — 11/100 quantile",,,dst_times_dagpenge_kontant_13,generated:quantile_percentile,high,english,,,708085,628108,0.069568
LAB_dagpenge_kontant_13_Q88,LAB,dagpenge,kontant_13_Q88,Dagpenge og kontanthjælp mv. i alt — 88/100 kvantil,Dagpenge og kontanthjælp mv. i alt — 88/100 kvantil,,,"Unemployment and cash benefits etc. combined (dagpenge, kontanthjælp, sygedagpenge, barsel) — 88/100 quantile",,,dst_times_dagpenge_kontant_13,generated:quantile_percentile,high,english,,,218157,193094,0.021387
LAB_dagpenge_kontant_13_Q23,LAB,dagpenge,kontant_13_Q23,Dagpenge og kontanthjælp mv. i alt — 23/100 kvantil,Dagpenge og kontanthjælp mv. i alt — 23/100 kvantil,,,"Unemployment and cash benefits etc. combined (dagpenge, kontanthjælp, sygedagpenge, barsel) — 23/100 quantile",,,dst_times_dagpenge_kontant_13,generated:quantile_percentile,high,english,,,430137,395990,0.043859
LAB_dagpenge_kontant_13_Q26,LAB,dagpenge,kontant_13_Q26,Dagpenge og kontanthjælp mv. i alt — 26/100 kvantil,Dagpenge og kontanthjælp mv. i alt — 26/100 kvantil,,,"Unemployment and cash benefits etc. combined (dagpenge, kontanthjælp, sygedagpenge, barsel) — 26/100 quantile",,,dst_times_dagpenge_kontant_13,generated:quantile_percentile,high,english,,,401960,372117,0.041215
LAB_dagpenge_kontant_13_Q92,LAB,dagpenge,kontant_13_Q92,Dagpenge og kontanthjælp mv. i alt — 92/100 kvantil,Dagpenge og kontanthjælp mv. i alt — 92/100 kvantil,,,"Unemployment and cash benefits etc. combined (dagpenge, kontanthjælp, sygedagpenge, barsel) — 92/100 quantile",,,dst_times_dagpenge_kontant_13,generated:quantile_percentile,high,english,,,261821,221959,0.024584
LAB_dagpenge_kontant_13_Q51,LAB,dagpenge,kontant_13_Q51,Dagpenge og kontanthjælp mv. i alt — 51/100 kvantil,Dagpenge og kontanthjælp mv. i alt — 51/100 kvantil,,,"Unemployment and cash benefits etc. combined (dagpenge, kontanthjælp, sygedagpenge, barsel) — 51/100 quantile",,,dst_times_dagpenge_kontant_13,generated:quantile_percentile,high,english,,,272018,252018,0.027913
LAB_dagpenge_kontant_13_Q5,LAB,dagpenge,kontant_13_Q5,Dagpenge og kontanthjælp mv. i alt — 5/100 kvantil,Dagpenge og kontanthjælp mv. i alt — 5/100 kvantil,,,"Unemployment and cash benefits etc. combined (dagpenge, kontanthjælp, sygedagpenge, barsel) — 5/100 quantile",,,dst_times_dagpenge_kontant_13,generated:quantile_percentile,high,english,,,1632171,1228522,0.136069
