code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level,n_occurrences,n_people,pct_people,program_group,is_primary_code
EDU_grade_2,EDU,grade,2,Grade 2 (exam grade),Karakter 2 (eksamenskarakter),,,Grade 2 (exam grade),,,translated,none|generated,medium,danish,,,7152670,1028542,0.113919,,
EDU_grade_4,EDU,grade,4,Grade 4 (exam grade),Karakter 4 (eksamenskarakter),,,Grade 4 (exam grade),,,translated,none|generated,medium,danish,,,17935167,1548291,0.171486,,
EDU_grade_7,EDU,grade,7,Grade 7 (exam grade),Karakter 7 (eksamenskarakter),,,Grade 7 (exam grade),,,translated,none|generated,medium,danish,,,28375290,1669085,0.184865,,
EDU_grade_10,EDU,grade,10,Grade 10 (exam grade),Karakter 10 (eksamenskarakter),,,Grade 10 (exam grade),,,translated,none|generated,medium,danish,,,17688371,1477471,0.163642,,
EDU_grade_12,EDU,grade,12,Grade 12 (exam grade),Karakter 12 (eksamenskarakter),,,Grade 12 (exam grade),,,translated,none|generated,medium,danish,,,8206999,1117703,0.123795,,
EDU_grade_0,EDU,grade,0,Grade 0 (exam grade),Karakter 0 (eksamenskarakter),,,Grade 0 (exam grade),,,translated,none|generated,medium,danish,,,2157636,612984,0.067893,,
EDU_grade_-3,EDU,grade,-3,Grade -3 (unacceptable),,,,Grade -3 (unacceptable),,,translated,none|generated,medium,danish,,,412777,195342,0.021636,,
EDU_grade_00,EDU,grade,00,Grade 00 (exam grade),Karakter 00 (eksamenskarakter),,,Grade 00 (exam grade),,,translated,none|generated,medium,danish,,,783639,282669,0.031308,,
EDU_grade_02,EDU,grade,02,Grade 02 (exam grade),Karakter 02 (eksamenskarakter),,,Grade 02 (exam grade),,,translated,none|generated,medium,danish,,,1002283,404859,0.044841,,
EDU_grade_U,EDU,grade,U,Utilfredsstillende (unsatisfactory),,,,Utilfredsstillende (unsatisfactory),,,translated,none|generated,medium,danish,,,178759,59223,0.006559,,
EDU_grade_MF,EDU,grade,MF,"Meget flot (very good, folkeskole)",,,,"Meget flot (very good, folkeskole)",,,translated,none|generated,medium,danish,,,8609,4959,0.000549,,
EDU_grade_F,EDU,grade,F,"Flot (good, folkeskole)",,,,"Flot (good, folkeskole)",,,translated,none|generated,medium,danish,,,3555,2936,0.000325,,
EDU_grade_B,EDU,grade,B,Bestået (passed),Bestået,,,Passed,,,translated,none|generated,medium,danish,,,983299,242190,0.026825,,
EDU_grade_I,EDU,grade,I,Grade code: I,,,,Grade code: I,,,translated,none|generated|generated,medium,danish,,,91819,30444,0.003372,,
EDU_grade_IA,EDU,grade,IA,Grade code: IA,,,,Grade code: IA,,,translated,none|generated|generated,medium,danish,,,93086,50223,0.005563,,
EDU_grade_IM,EDU,grade,IM,Grade code: IM,,,,Grade code: IM,,,translated,none|generated|generated,medium,danish,,,66078,31748,0.003516,,
EDU_grade_II,EDU,grade,II,Grade code: II,,,,Grade code: II,,,translated,none|generated|generated,medium,danish,,,27136,16718,0.001852,,
EDU_grade_LI,EDU,grade,LI,Grade code: LI,,,,Grade code: LI,,,translated,none|generated|generated,medium,danish,,,7656,5746,0.000636,,
EDU_grade_SY,EDU,grade,SY,Syg (absent due to illness),,,,Syg (absent due to illness),,,translated,none|generated,medium,danish,,,24161,14687,0.001627,,
EDU_grade_IB,EDU,grade,IB,Ikke bestået (not passed),Ikke bestået,,,Not passed,,,translated,none|generated,medium,danish,,,38550,22311,0.002471,,
EDU_grade_IG,EDU,grade,IG,Ikke godkendt (not approved),,,,Ikke godkendt (not approved),,,translated,none|generated,medium,danish,,,12854,7595,0.000841,,
EDU_grade_NA,EDU,grade,,Grade code: ,,,,Grade code: ,,,translated,none|generated|generated,medium,danish,,,853,402,4.5e-05,,
EDU_grade_M,EDU,grade,M,Grade code: M,,,,Grade code: M,,,translated,none|generated|generated,medium,danish,,,345,338,3.7e-05,,
EDU_grade_BF,EDU,grade,BF,Grade code: BF,,,,Grade code: BF,,,translated,none|generated|generated,medium,danish,,,9864,6234,0.00069,,
EDU_grade_FE,EDU,grade,FE,Grade code: FE,,,,Grade code: FE,,,translated,none|generated|generated,medium,danish,,,14654,8817,0.000977,,
EDU_grade_FS,EDU,grade,FS,Grade code: FS,,,,Grade code: FS,,,translated,none|generated|generated,medium,danish,,,8239,5905,0.000654,,
EDU_grade_G,EDU,grade,G,Godkendt (approved),,,,Godkendt (approved),,,translated,none|generated,medium,danish,,,211166,72274,0.008005,,
EDU_grade_AF,EDU,grade,AF,Grade code: AF,,,,Grade code: AF,,,translated,none|generated|generated,medium,danish,,,1599,1304,0.000144,,
EDU_grade_BV,EDU,grade,BV,Grade code: BV,,,,Grade code: BV,,,translated,none|generated|generated,medium,danish,,,241,210,2.3e-05,,
EDU_grade_7_scale_84,EDU,grade,7_scale_84,Grade code: 7_scale_84,,,,Grade code: 7_scale_84,,,translated,none|generated|generated,medium,danish,,,34070,33593,0.003721,,
EDU_grade_7_scale_57,EDU,grade,7_scale_57,Grade code: 7_scale_57,,,,Grade code: 7_scale_57,,,translated,none|generated|generated,medium,danish,,,39444,39064,0.004327,,
EDU_grade_7_scale_27,EDU,grade,7_scale_27,Grade code: 7_scale_27,,,,Grade code: 7_scale_27,,,translated,none|generated|generated,medium,danish,,,13781,13614,0.001508,,
EDU_grade_7_scale_49,EDU,grade,7_scale_49,Grade code: 7_scale_49,,,,Grade code: 7_scale_49,,,translated,none|generated|generated,medium,danish,,,36335,35929,0.003979,,
EDU_grade_7_scale_29,EDU,grade,7_scale_29,Grade code: 7_scale_29,,,,Grade code: 7_scale_29,,,translated,none|generated|generated,medium,danish,,,16541,16344,0.00181,,
EDU_grade_7_scale_97,EDU,grade,7_scale_97,Grade code: 7_scale_97,,,,Grade code: 7_scale_97,,,translated,none|generated|generated,medium,danish,,,24561,24149,0.002675,,
EDU_grade_7_scale_76,EDU,grade,7_scale_76,Grade code: 7_scale_76,,,,Grade code: 7_scale_76,,,translated,none|generated|generated,medium,danish,,,38116,37600,0.004165,,
EDU_grade_7_scale_65,EDU,grade,7_scale_65,Grade code: 7_scale_65,,,,Grade code: 7_scale_65,,,translated,none|generated|generated,medium,danish,,,39632,39034,0.004323,,
EDU_grade_7_scale_94,EDU,grade,7_scale_94,Grade code: 7_scale_94,,,,Grade code: 7_scale_94,,,translated,none|generated|generated,medium,danish,,,27238,26777,0.002966,,
EDU_grade_7_scale_122,EDU,grade,7_scale_122,Grade code: 7_scale_122,,,,Grade code: 7_scale_122,,,translated,none|generated|generated,medium,danish,,,880,825,9.1e-05,,
EDU_grade_7_scale_31,EDU,grade,7_scale_31,Grade code: 7_scale_31,,,,Grade code: 7_scale_31,,,translated,none|generated|generated,medium,danish,,,17855,17691,0.001959,,
EDU_grade_7_scale_115,EDU,grade,7_scale_115,Grade code: 7_scale_115,,,,Grade code: 7_scale_115,,,translated,none|generated|generated,medium,danish,,,7500,7312,0.00081,,
