code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level
SOC_ger7_3410000,SOC,ger7,3410000,Våbenloven (via 3410),Våbenloven (via 3410),,,Weapons Act (via 3410),,,translated,CSV:SOC_ger7_hierarchical,medium,danish,SOC_ger7_3410,detail
SOC_ger7_2610000,SOC,ger7,2610000,Færdselslovsovertræd. i øvrigt (via 2610),Færdselslovsovertræd. i øvrigt (via 2610),,,Other traffic law violations (via 2610),,,translated,CSV:SOC_ger7_hierarchical,medium,danish,SOC_ger7_2610,detail
SOC_ger7_2610037,SOC,ger7,2610037,Hastighedsovertrædelse § 42-43a,Hastighedsovertrædelse § 42-43a,,,Speeding violation § 42-43a,,,translated,CSV:SOC_ger7_hierarchical,medium,danish,SOC_ger7_2610,detail
SOC_ger7_2610123,SOC,ger7,2610123,"Vigepligt, ubetinget, afmærkning (klip)","Vigepligt, ubetinget, afmærkning (klip)",,,"Yield obligation, unconditional, road marking (penalty points)",,,translated,CSV:SOC_ger7_hierarchical,medium,danish,SOC_ger7_2610,detail
SOC_ger7_2610110,SOC,ger7,2610110,"ATK hastighedsovertrædelse, færdselstavle (klip)","ATK hastighedsovertrædelse, færdselstavle (klip)",,,"ATK speeding violation, traffic sign (penalty points)",,,translated,CSV:SOC_ger7_hierarchical,medium,danish,SOC_ger7_2610,detail
SOC_ger7_2610142,SOC,ger7,2610142,ATK hastighedsovertrædelse (klip),ATK hastighedsovertrædelse (klip),,,ATK speeding violation (penalty points),,,translated,CSV:SOC_ger7_hierarchical,medium,danish,SOC_ger7_2610,detail
SOC_ger7_2410005,SOC,ger7,2410005,"Køretøj, mangler (Udstyrsbekendtgørelsen)","Køretøj, mangler (Udstyrsbekendtgørelsen)",,,"Vehicle, mangler (Udstyrsregulationn)",,,translated,CSV:SOC_ger7_hierarchical,medium,danish,SOC_ger7_2410,detail
SOC_ger7_3830505,SOC,ger7,3830505,Dyreværnsloven,Dyreværnsloven,,,Animal Welfare Act,,,translated,CSV:SOC_ger7_hierarchical,medium,danish,SOC_ger7_3830,detail
SOC_ger7_2610129,SOC,ger7,2610129,"Hastighed, færdselstavle (klip)","Hastighed, færdselstavle (klip)",,,"Speed, traffic sign (penalty points)",,,translated,CSV:SOC_ger7_hierarchical,medium,danish,SOC_ger7_2610,detail
SOC_ger7_2220013,SOC,ger7,2220013,Spirituskørsel,Spirituskørsel,,,Drunk driving,,,translated,CSV:SOC_ger7_hierarchical,medium,danish,SOC_ger7_2220,detail
SOC_ger7_2220010,SOC,ger7,2220010,"Spiritus, motorfører med høj promille","Spiritus, motorfører med høj promille",,,"Alcohol, motor-vehicle driver with high promille",,,translated,CSV:SOC_ger7_hierarchical,medium,danish,SOC_ger7_2220,detail
SOC_ger7_2610094,SOC,ger7,2610094,"Frakendelsestid, kørsel i","Frakendelsestid, kørsel i",,,"Frakendelsestid, driving i",,,translated,CSV:SOC_ger7_hierarchical,medium,danish,SOC_ger7_2610,detail
SOC_ger7_1332515,SOC,ger7,1332515,Butikstyveri købmand/supermarked/mejeri,Butikstyveri købmand/supermarked/mejeri,,,Shoplifting grocer/supermarket/dairy,,,translated,CSV:SOC_ger7_hierarchical,medium,danish,SOC_ger7_1332,detail
SOC_ger7_1376505,SOC,ger7,1376505,Hæleri,Hæleri,,,Receiving stolen goods,,,translated,CSV:SOC_ger7_hierarchical,medium,danish,SOC_ger7_1376,detail
SOC_ger7_2610049,SOC,ger7,2610049,"Motorkørertøj, kørsel uden førerret","Motorkørertøj, kørsel uden førerret",,,"Motor vehicle, driving without driving licence",,,translated,CSV:SOC_ger7_hierarchical,medium,danish,SOC_ger7_2610,detail
SOC_ger7_2610125,SOC,ger7,2610125,"Overhaling, færdselstavle/afmærkning (klip)","Overhaling, færdselstavle/afmærkning (klip)",,,"Overtaking, traffic sign/road marking (penalty points)",,,translated,CSV:SOC_ger7_hierarchical,medium,danish,SOC_ger7_2610,detail
SOC_ger7_3610902,SOC,ger7,3610902,Overtrådt registreringsbekendtgørelsen,Overtrådt registreringsbekendtgørelsen,,,Violated registreringsregulationn,,,translated,CSV:SOC_ger7_hierarchical,medium,danish,SOC_ger7_3610,detail
SOC_ger7_2610088,SOC,ger7,2610088,Blokvognskørsel,Blokvognskørsel,,,Blokvognsdriving,,,translated,CSV:SOC_ger7_hierarchical,medium,danish,SOC_ger7_2610,detail
SOC_ger7_2610043,SOC,ger7,2610043,"Knallertkørsel, særlige regler for","Knallertkørsel, særlige regler for",,,"Knallertdriving, particularlye regler for",,,translated,CSV:SOC_ger7_hierarchical,medium,danish,SOC_ger7_2610,detail
SOC_ger7_3810405,SOC,ger7,3810405,Brandlovgivningen/beredskabsloven,Brandlovgivningen/beredskabsloven,,,Brandlegislationen/beredskabsloven,,,translated,CSV:SOC_ger7_hierarchical,medium,danish,SOC_ger7_3810,detail
SOC_ger7_1252505,SOC,ger7,1252505,Simpel vold,Simpel vold,,,Simple violence,,,translated,CSV:SOC_ger7_hierarchical,medium,danish,SOC_ger7_1252,detail
SOC_ger7_2220022,SOC,ger7,2220022,"Spiritus, motorfører med promille under 0,81","Spiritus, motorfører med promille under 0,81",,,"Alcohol, motor-vehicle driver with promille under 0,81",,,translated,CSV:SOC_ger7_hierarchical,medium,danish,SOC_ger7_2220,detail
SOC_ger7_2220035,SOC,ger7,2220035,"Spiritus, knallertkører, spirituspåvirket","Spiritus, knallertkører, spirituspåvirket",,,"Alcohol, knallertdriver, under the influence of alcohol",,,translated,CSV:SOC_ger7_hierarchical,medium,danish,SOC_ger7_2220,detail
SOC_ger7_2210068,SOC,ger7,2210068,FUH. Knallertkører med høj promille med personskade,FUH. Knallertkører med høj promille med personskade,,,Traffic accident Knallertdriver with high promille with personskade,,,translated,CSV:SOC_ger7_hierarchical,medium,danish,SOC_ger7_2210,detail
SOC_ger7_2610038,SOC,ger7,2610038,ATK hastighedsovertrædelse,ATK hastighedsovertrædelse,,,ATK speeding violation,,,translated,CSV:SOC_ger7_hierarchical,medium,danish,SOC_ger7_2610,detail
SOC_ger7_2610002,SOC,ger7,2610002,"ATK hastighedsovertrædelse, færdselstavle","ATK hastighedsovertrædelse, færdselstavle",,,"ATK speeding violation, traffic sign",,,translated,CSV:SOC_ger7_hierarchical,medium,danish,SOC_ger7_2610,detail
SOC_ger7_2610006,SOC,ger7,2610006,"Hastighedsovertrædelse, færdselstavle","Hastighedsovertrædelse, færdselstavle",,,"Speeding violation, traffic sign",,,translated,CSV:SOC_ger7_hierarchical,medium,danish,SOC_ger7_2610,detail
SOC_ger7_2610137,SOC,ger7,2610137,"Hastighed, generelle (klip)","Hastighed, generelle (klip)",,,"Speed, generelle (penalty points)",,,translated,CSV:SOC_ger7_hierarchical,medium,danish,SOC_ger7_2610,detail
SOC_ger7_1357505,SOC,ger7,1357505,Bedrageri,Bedrageri,,,Fraud,,,translated,CSV:SOC_ger7_hierarchical,medium,danish,SOC_ger7_1357,detail
