code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level,n_occurrences,n_people,pct_people
LAB_qeftlon_Q14,LAB,qeftlon,Q14,"Efterløn, overgangsydelse og (fra 2008) fleksydelse — 14/100 kvantil","Efterløn, overgangsydelse og (fra 2008) fleksydelse — 14/100 kvantil",,,"Efterløn (early retirement benefit), transitional allowance and (from 2008) flex benefit — 14/100 quantile",,,dst_times_qeftlon,generated_pattern,high,english,,,34641,34034,0.00377
LAB_qeftlon_Q9,LAB,qeftlon,Q9,"Efterløn, overgangsydelse og (fra 2008) fleksydelse — 9/100 kvantil","Efterløn, overgangsydelse og (fra 2008) fleksydelse — 9/100 kvantil",,,"Efterløn (early retirement benefit), transitional allowance and (from 2008) flex benefit — 9/100 quantile",,,dst_times_qeftlon,generated_pattern,high,english,,,37242,36756,0.004071
LAB_qeftlon_Q1,LAB,qeftlon,Q1,"Efterløn, overgangsydelse og (fra 2008) fleksydelse — 1/100 kvantil","Efterløn, overgangsydelse og (fra 2008) fleksydelse — 1/100 kvantil",,,"Efterløn (early retirement benefit), transitional allowance and (from 2008) flex benefit — 1/100 quantile",,,dst_times_qeftlon,generated_pattern,high,english,,,31966,31451,0.003483
LAB_qeftlon_Q46,LAB,qeftlon,Q46,"Efterløn, overgangsydelse og (fra 2008) fleksydelse — 46/100 kvantil","Efterløn, overgangsydelse og (fra 2008) fleksydelse — 46/100 kvantil",,,"Efterløn (early retirement benefit), transitional allowance and (from 2008) flex benefit — 46/100 quantile",,,dst_times_qeftlon,generated_pattern,high,english,,,38429,36401,0.004032
LAB_qeftlon_Q69,LAB,qeftlon,Q69,"Efterløn, overgangsydelse og (fra 2008) fleksydelse — 69/100 kvantil","Efterløn, overgangsydelse og (fra 2008) fleksydelse — 69/100 kvantil",,,"Efterløn (early retirement benefit), transitional allowance and (from 2008) flex benefit — 69/100 quantile",,,dst_times_qeftlon,generated_pattern,high,english,,,53267,49503,0.005483
LAB_qeftlon_Q89,LAB,qeftlon,Q89,"Efterløn, overgangsydelse og (fra 2008) fleksydelse — 89/100 kvantil","Efterløn, overgangsydelse og (fra 2008) fleksydelse — 89/100 kvantil",,,"Efterløn (early retirement benefit), transitional allowance and (from 2008) flex benefit — 89/100 quantile",,,dst_times_qeftlon,generated_pattern,high,english,,,54741,49811,0.005517
LAB_qeftlon_Q41,LAB,qeftlon,Q41,"Efterløn, overgangsydelse og (fra 2008) fleksydelse — 41/100 kvantil","Efterløn, overgangsydelse og (fra 2008) fleksydelse — 41/100 kvantil",,,"Efterløn (early retirement benefit), transitional allowance and (from 2008) flex benefit — 41/100 quantile",,,dst_times_qeftlon,generated_pattern,high,english,,,38887,36812,0.004077
LAB_qeftlon_Q5,LAB,qeftlon,Q5,"Efterløn, overgangsydelse og (fra 2008) fleksydelse — 5/100 kvantil","Efterløn, overgangsydelse og (fra 2008) fleksydelse — 5/100 kvantil",,,"Efterløn (early retirement benefit), transitional allowance and (from 2008) flex benefit — 5/100 quantile",,,dst_times_qeftlon,generated_pattern,high,english,,,36349,35918,0.003978
LAB_qeftlon_Q68,LAB,qeftlon,Q68,"Efterløn, overgangsydelse og (fra 2008) fleksydelse — 68/100 kvantil","Efterløn, overgangsydelse og (fra 2008) fleksydelse — 68/100 kvantil",,,"Efterløn (early retirement benefit), transitional allowance and (from 2008) flex benefit — 68/100 quantile",,,dst_times_qeftlon,generated_pattern,high,english,,,46652,43485,0.004816
LAB_qeftlon_Q67,LAB,qeftlon,Q67,"Efterløn, overgangsydelse og (fra 2008) fleksydelse — 67/100 kvantil","Efterløn, overgangsydelse og (fra 2008) fleksydelse — 67/100 kvantil",,,"Efterløn (early retirement benefit), transitional allowance and (from 2008) flex benefit — 67/100 quantile",,,dst_times_qeftlon,generated_pattern,high,english,,,47900,45027,0.004987
