code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level,n_occurrences,n_people,pct_people,program_group,is_primary_code
LAB_loenmv_13_Q58,LAB,loenmv,13_Q58,Lønindkomst i alt — 58/100 kvantil,Lønindkomst i alt — 58/100 kvantil,,,Total wage income — 58/100 quantile,,,dst_times_loenmv_13,generated:quantile_percentile,high,english,,,1399182,896571,0.099303,,
LAB_loenmv_13_Q29,LAB,loenmv,13_Q29,Lønindkomst i alt — 29/100 kvantil,Lønindkomst i alt — 29/100 kvantil,,,Total wage income — 29/100 quantile,,,dst_times_loenmv_13,generated:quantile_percentile,high,english,,,1287201,980507,0.108599,,
LAB_loenmv_13_Q6,LAB,loenmv,13_Q6,Lønindkomst i alt — 6/100 kvantil,Lønindkomst i alt — 6/100 kvantil,,,Total wage income — 6/100 quantile,,,dst_times_loenmv_13,generated:quantile_percentile,high,english,,,2079884,1530067,0.169467,,
LAB_loenmv_13_Q25,LAB,loenmv,13_Q25,Lønindkomst i alt — 25/100 kvantil,Lønindkomst i alt — 25/100 kvantil,,,Total wage income — 25/100 quantile,,,dst_times_loenmv_13,generated:quantile_percentile,high,english,,,1238308,983812,0.108965,,
LAB_loenmv_13_Q40,LAB,loenmv,13_Q40,Lønindkomst i alt — 40/100 kvantil,Lønindkomst i alt — 40/100 kvantil,,,Total wage income — 40/100 quantile,,,dst_times_loenmv_13,generated:quantile_percentile,high,english,,,2341172,1363903,0.151063,,
LAB_loenmv_13_Q43,LAB,loenmv,13_Q43,Lønindkomst i alt — 43/100 kvantil,Lønindkomst i alt — 43/100 kvantil,,,Total wage income — 43/100 quantile,,,dst_times_loenmv_13,generated:quantile_percentile,high,english,,,2496558,1429713,0.158352,,
LAB_loenmv_13_Q42,LAB,loenmv,13_Q42,Lønindkomst i alt — 42/100 kvantil,Lønindkomst i alt — 42/100 kvantil,,,Total wage income — 42/100 quantile,,,dst_times_loenmv_13,generated:quantile_percentile,high,english,,,2468514,1416880,0.156931,,
LAB_loenmv_13_Q33,LAB,loenmv,13_Q33,Lønindkomst i alt — 33/100 kvantil,Lønindkomst i alt — 33/100 kvantil,,,Total wage income — 33/100 quantile,,,dst_times_loenmv_13,generated:quantile_percentile,high,english,,,1562533,1075984,0.119174,,
LAB_loenmv_13_Q2,LAB,loenmv,13_Q2,Lønindkomst i alt — 2/100 kvantil,Lønindkomst i alt — 2/100 kvantil,,,Total wage income — 2/100 quantile,,,dst_times_loenmv_13,generated:quantile_percentile,high,english,,,4168016,2500314,0.27693,,
LAB_loenmv_13_Q53,LAB,loenmv,13_Q53,Lønindkomst i alt — 53/100 kvantil,Lønindkomst i alt — 53/100 kvantil,,,Total wage income — 53/100 quantile,,,dst_times_loenmv_13,generated:quantile_percentile,high,english,,,1822008,1123412,0.124427,,
LAB_loenmv_13_Q50,LAB,loenmv,13_Q50,Lønindkomst i alt — 50/100 kvantil,Lønindkomst i alt — 50/100 kvantil,,,Total wage income — 50/100 quantile,,,dst_times_loenmv_13,generated:quantile_percentile,high,english,,,2141239,1265969,0.140216,,
LAB_loenmv_13_Q49,LAB,loenmv,13_Q49,Lønindkomst i alt — 49/100 kvantil,Lønindkomst i alt — 49/100 kvantil,,,Total wage income — 49/100 quantile,,,dst_times_loenmv_13,generated:quantile_percentile,high,english,,,2243395,1311343,0.145242,,
LAB_loenmv_13_Q51,LAB,loenmv,13_Q51,Lønindkomst i alt — 51/100 kvantil,Lønindkomst i alt — 51/100 kvantil,,,Total wage income — 51/100 quantile,,,dst_times_loenmv_13,generated:quantile_percentile,high,english,,,2034376,1220976,0.135233,,
LAB_loenmv_13_Q44,LAB,loenmv,13_Q44,Lønindkomst i alt — 44/100 kvantil,Lønindkomst i alt — 44/100 kvantil,,,Total wage income — 44/100 quantile,,,dst_times_loenmv_13,generated:quantile_percentile,high,english,,,2507853,1431474,0.158547,,
LAB_loenmv_13_Q46,LAB,loenmv,13_Q46,Lønindkomst i alt — 46/100 kvantil,Lønindkomst i alt — 46/100 kvantil,,,Total wage income — 46/100 quantile,,,dst_times_loenmv_13,generated:quantile_percentile,high,english,,,2449150,1405886,0.155713,,
LAB_loenmv_13_Q34,LAB,loenmv,13_Q34,Lønindkomst i alt — 34/100 kvantil,Lønindkomst i alt — 34/100 kvantil,,,Total wage income — 34/100 quantile,,,dst_times_loenmv_13,generated:quantile_percentile,high,english,,,1637709,1104637,0.122348,,
