code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level
HEA_MG_manual_bin_5,HEA,MG,manual_bin_5,"Medicine volume per package (VOLUME), unit milligrams of active substance (VOLTYPECODE MG): 5","Lægemiddelmængde pr. pakning (VOLUME), enhed mg (aktivt stof) (VOLTYPECODE MG): 5",,,"Medicine volume per package (VOLUME), unit milligrams of active substance (VOLTYPECODE MG): 5",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_MG_manual_bin_2,HEA,MG,manual_bin_2,"Medicine volume per package (VOLUME), unit milligrams of active substance (VOLTYPECODE MG): 2","Lægemiddelmængde pr. pakning (VOLUME), enhed mg (aktivt stof) (VOLTYPECODE MG): 2",,,"Medicine volume per package (VOLUME), unit milligrams of active substance (VOLTYPECODE MG): 2",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_MG_manual_bin_1,HEA,MG,manual_bin_1,"Medicine volume per package (VOLUME), unit milligrams of active substance (VOLTYPECODE MG): 1","Lægemiddelmængde pr. pakning (VOLUME), enhed mg (aktivt stof) (VOLTYPECODE MG): 1",,,"Medicine volume per package (VOLUME), unit milligrams of active substance (VOLTYPECODE MG): 1",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_MG_manual_bin_100_500,HEA,MG,manual_bin_100_500,"Medicine volume per package (VOLUME), unit milligrams of active substance (VOLTYPECODE MG): 100-500","Lægemiddelmængde pr. pakning (VOLUME), enhed mg (aktivt stof) (VOLTYPECODE MG): 100-500",,,"Medicine volume per package (VOLUME), unit milligrams of active substance (VOLTYPECODE MG): 100-500",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_MG_manual_bin_20_30,HEA,MG,manual_bin_20_30,"Medicine volume per package (VOLUME), unit milligrams of active substance (VOLTYPECODE MG): 20-30","Lægemiddelmængde pr. pakning (VOLUME), enhed mg (aktivt stof) (VOLTYPECODE MG): 20-30",,,"Medicine volume per package (VOLUME), unit milligrams of active substance (VOLTYPECODE MG): 20-30",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_MG_manual_bin_40_50,HEA,MG,manual_bin_40_50,"Medicine volume per package (VOLUME), unit milligrams of active substance (VOLTYPECODE MG): 40-50","Lægemiddelmængde pr. pakning (VOLUME), enhed mg (aktivt stof) (VOLTYPECODE MG): 40-50",,,"Medicine volume per package (VOLUME), unit milligrams of active substance (VOLTYPECODE MG): 40-50",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_MG_manual_bin_50_100,HEA,MG,manual_bin_50_100,"Medicine volume per package (VOLUME), unit milligrams of active substance (VOLTYPECODE MG): 50-100","Lægemiddelmængde pr. pakning (VOLUME), enhed mg (aktivt stof) (VOLTYPECODE MG): 50-100",,,"Medicine volume per package (VOLUME), unit milligrams of active substance (VOLTYPECODE MG): 50-100",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_MG_manual_bin_10,HEA,MG,manual_bin_10,"Medicine volume per package (VOLUME), unit milligrams of active substance (VOLTYPECODE MG): 10","Lægemiddelmængde pr. pakning (VOLUME), enhed mg (aktivt stof) (VOLTYPECODE MG): 10",,,"Medicine volume per package (VOLUME), unit milligrams of active substance (VOLTYPECODE MG): 10",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_MG_manual_bin_3,HEA,MG,manual_bin_3,"Medicine volume per package (VOLUME), unit milligrams of active substance (VOLTYPECODE MG): 3","Lægemiddelmængde pr. pakning (VOLUME), enhed mg (aktivt stof) (VOLTYPECODE MG): 3",,,"Medicine volume per package (VOLUME), unit milligrams of active substance (VOLTYPECODE MG): 3",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_MG_manual_bin_500_1000,HEA,MG,manual_bin_500_1000,"Medicine volume per package (VOLUME), unit milligrams of active substance (VOLTYPECODE MG): 500-1000","Lægemiddelmængde pr. pakning (VOLUME), enhed mg (aktivt stof) (VOLTYPECODE MG): 500-1000",,,"Medicine volume per package (VOLUME), unit milligrams of active substance (VOLTYPECODE MG): 500-1000",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_MG_over_1000,HEA,MG,over_1000,"Medicine volume per package (VOLUME), unit milligrams of active substance (VOLTYPECODE MG): over 1000","Lægemiddelmængde pr. pakning (VOLUME), enhed mg (aktivt stof) (VOLTYPECODE MG): over 1000",,,"Medicine volume per package (VOLUME), unit milligrams of active substance (VOLTYPECODE MG): over 1000",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
