code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level,n_occurrences,n_people,pct_people
LAB_socio_gl_80,LAB,socio,gl_80,Folkepensionister,Folkepensionister,"SOCIO_GL (1976-1990) gl_80; empirical crosswalk -> SOCIO13 322 (76% of transitions, n=769552)",,State pensioners,,,empirical_crosswalk_socio13,empirical_crosswalk_socio13,high,danish,,,10792071,1171598,0.129764
LAB_socio_gl_89,LAB,socio,gl_89,Børn under 15 år ultimo året,Børn under 15 år ultimo året,"SOCIO_GL (1976-1990) gl_89; empirical crosswalk -> SOCIO13 420 (45% of transitions, n=850485)",,Children under 15 years old as of the end of the year,,,empirical_crosswalk_socio13,empirical_crosswalk_socio13,low,danish,,,12712426,2889889,0.320079
LAB_socio_gl_1,LAB,socio,gl_1,Selvstændig,Selvstændig,"SOCIO_GL (1976-1990) gl_1; empirical crosswalk -> SOCIO13 110 (59% of transitions, n=59475)",,Self-employed,,,empirical_crosswalk_socio13,empirical_crosswalk_socio13,medium,danish,,,1423905,178671,0.019789
LAB_socio_gl_41,LAB,socio,gl_41,Lønmodtager i arbejde der forudsætter færdigheder på grundniveau,Lønmodtager i arbejde der forudsætter færdigheder på grundniveau,"SOCIO_GL (1976-1990) gl_41; empirical crosswalk -> SOCIO13 134 (55% of transitions, n=44483)",,Wage earner in work requiring basic level skills,,,empirical_crosswalk_socio13,empirical_crosswalk_socio13,low,danish,,,882298,175837,0.019475
LAB_socio_gl_71,LAB,socio,gl_71,Lønmodtager i arbejde der forudsætter færdigheder på grundniveau,Lønmodtager i arbejde der forudsætter færdigheder på grundniveau,"SOCIO_GL (1976-1990) gl_71; empirical crosswalk -> SOCIO13 134 (51% of transitions, n=103809)",,Wage earner in work requiring basic level skills,,,empirical_crosswalk_socio13,empirical_crosswalk_socio13,low,danish,,,2029427,560046,0.06203
LAB_socio_gl_27,LAB,socio,gl_27,Lønmodtager i arbejde der forudsætter færdigheder på højeste niveau,Lønmodtager i arbejde der forudsætter færdigheder på højeste niveau,"SOCIO_GL (1976-1990) gl_27; empirical crosswalk -> SOCIO13 132 (56% of transitions, n=46827)",,Wage earner in work requiring highest level skills,,,empirical_crosswalk_socio13,empirical_crosswalk_socio13,medium,danish,,,791653,125876,0.013942
LAB_socio_gl_62,LAB,socio,gl_62,Lønmodtager i arbejde der forudsætter færdigheder på grundniveau,Lønmodtager i arbejde der forudsætter færdigheder på grundniveau,"SOCIO_GL (1976-1990) gl_62; empirical crosswalk -> SOCIO13 134 (57% of transitions, n=69475)",,Wage earner in work requiring basic level skills,,,empirical_crosswalk_socio13,empirical_crosswalk_socio13,low,danish,,,1729954,349144,0.038671
LAB_socio_gl_72,LAB,socio,gl_72,Lønmodtager i arbejde der forudsætter færdigheder på grundniveau,Lønmodtager i arbejde der forudsætter færdigheder på grundniveau,"SOCIO_GL (1976-1990) gl_72; empirical crosswalk -> SOCIO13 134 (50% of transitions, n=138740)",,Wage earner in work requiring basic level skills,,,empirical_crosswalk_socio13,empirical_crosswalk_socio13,low,danish,,,2890493,816034,0.090382
LAB_socio_gl_6,LAB,socio,gl_6,Selvstændig,Selvstændig,"SOCIO_GL (1976-1990) gl_6; empirical crosswalk -> SOCIO13 110 (70% of transitions, n=65449)",,Self-employed,,,empirical_crosswalk_socio13,empirical_crosswalk_socio13,medium,danish,,,1464618,310811,0.034425
LAB_socio_gl_7,LAB,socio,gl_7,Selvstændig,Selvstændig,"SOCIO_GL (1976-1990) gl_7; empirical crosswalk -> SOCIO13 110 (93% of transitions, n=13815)",,Self-employed,,,empirical_crosswalk_socio13,empirical_crosswalk_socio13,high,danish,,,354535,77767,0.008613
