Value set
D280600. TXT_PGF_HISTORIK - Paragraph code Valid from 	Valid for 	Code 	Text
01-01-2011 	31-12-2023 	245 	Connection of coordinator of young people who are sentenced to a sanction
01-01-1993 	31-12-1997 	406 	Stay in daycare or similar.
01-01-1993 	31-12-1997 	415 	Practical, pedagogical or other support at home
01-01-1993 	31-12-1997 	420 	Family treatment or similar support
01-01-1993 	31-12-1997 	425 	Establishment of 24-hour stays for the child and other members of the family
01-01-1993 	31-12-1996 	445 	Expenditure in connection with measures under section 33, paragraph. 2
01-01-1993 	31-12-1996 	450 	Expenses that can help avoid placement outside the home, etc.
01-01-1997 	31-12-1997 	445 	Expenditure in connection with measures under section 33, paragraph. 2
01-01-1997 	31-12-1997 	450 	Expenses that can help avoid placement outside the home, etc.
01-01-1998 	31-12-2005 	406 	Stay in daycare or similar.
01-01-1998 	31-12-2005 	415 	Practical, pedagogical or other support at home
01-01-1998 	31-12-2005 	420 	Family treatment or similar support
01-01-1998 	31-12-2005 	425 	Establishment of 24-hour stays for the child and other members of the family
01-01-1998 	31-12-2005 	445 	Expenditure in connection with measures under section 40, paragraph. 2
01-01-1998 	31-12-2005 	450 	Expenses that can help avoid placement outside the home, etc.
01-01-2001 	31-12-2005 	430 	Establishment of contact person for the whole family
01-01-2001 	31-12-2006 	435 	Supporting person to custody
01-01-2006 	31-12-2006 	406 	Stay in daycare or similar.
01-01-2006 	31-12-2006 	415 	Practical, pedagogical or other support at home
01-01-2006 	31-12-2006 	420 	Family treatment or similar support
01-01-2006 	31-12-2006 	425 	Establishment of 24-hour stays for the child and other members of the family
01-01-2006 	31-12-2006 	430 	Establishment of contact person for the whole family
01-01-2006 	31-12-2006 	440 	Other help (advice, treatment and educational support)
01-01-2007 	31-12-2023 	406 	Stay in daycare, leisure homes, youth club, educational institution or the like.
01-01-2007 	31-12-2023 	415 	Practical, pedagogical or other support at home
01-01-2007 	31-12-2023 	420 	Family treatment
01-01-2007 	31-12-2023 	425 	24-hour stay for both the child and other members of the family
01-01-2007 	31-12-2010 	430 	Permanent contact person for the whole family
01-01-2007 	31-12-2010 	440 	Other help (advice, treatment and educational support)
