idx	id	description_da	specialty_en	auto_da_full
593	3547	Almen lægehjælp 80, MFR-vaccinat. 1 år	General practitioner	Almen lægehjælp 80, Vaccination mod mæslinger, fåresyge og røde hunde (MFR-vaccination) (vaccination gives 2
594	3564	Almen lægehjælp 80, MMSE-test Frb. Kom.	General practitioner	Almen lægehjælp 80, MMSE-test Frb. Kom.
595	3579	Almen lægehjælp 80, Møde udover 3 modul.	General practitioner	Almen lægehjælp 80, Møder med social- og sundhedsforvaltninger pr
596	3580	Almen lægehjælp 80, Mødedeltagelse   A65	General practitioner	Almen lægehjælp 80, Mødedeltagelse   A65
597	3581	Almen lægehjælp 80, Nervesanatorier M.V.	General practitioner	Almen lægehjælp 80, Nervesanatorier mv
598	3582	Almen lægehjælp 80, Næsetamponade M.V.	General practitioner	Almen lægehjælp 80, Næsetamponade, standsning af blødning efter tandudtrækning
599	3585	Almen lægehjælp 80, Opfølg.helbreds. A80	General practitioner	Almen lægehjælp 80, Opfølg.helbreds. A80
600	3586	Almen lægehjælp 80, Opfølg.samt. i hjem	General practitioner	Almen lægehjælp 80, Opfølg.samt. i hjem
601	3587	Almen lægehjælp 80, Opfølg.samt. i kons.	General practitioner	Almen lægehjælp 80, Opfølg.samt. i konsultation
602	3588	Almen lægehjælp 80, Oplivningsforsøg	General practitioner	Almen lægehjælp 80, Genoplivning, herunder iltbehandling ved livstruende tilstande
603	3589	Almen lægehjælp 80, Ops. hjemmebesøg	General practitioner	Almen lægehjælp 80, Ops. hjemmebesøg
604	3591	Almen lægehjælp 80, Opsøgende virksomhed	General practitioner	Almen lægehjælp 80, Opsøgende virksomhed
605	3593	Almen lægehjælp 80, Orm. Ormeled I Fæc 1	General practitioner	Almen lægehjælp 80, Orm. Ormeled i Fæc 1
606	3612	Almen lægehjælp 80, Polyfarmaci pt. a101	General practitioner	Almen lægehjælp 80, Polyfarmaci pt. a101
607	3618	Almen lægehjælp 80, Præ.jour.sk. ¤2/A70	General practitioner	Almen lægehjælp 80, Præ.jour.sk. ¤2/A70
608	3624	Almen lægehjælp 80, Repos./ Paraphimosis	General practitioner	Almen lægehjælp 80, Repos./ Paraphimosis
609	3625	Almen lægehjælp 80, Røntgenund.¤2-aftale	General practitioner	Almen lægehjælp 80, Røntgenund.¤2-aftale
610	3626	Almen lægehjælp 80, Samtalebeh. 1 samt.	General practitioner	Almen lægehjælp 80, samtalebehandling 1 samt.
611	3627	Almen lægehjælp 80, Samtalebeh. 2 samt.	General practitioner	Almen lægehjælp 80, samtalebehandling 2 samt.
612	3628	Almen lægehjælp 80, Samtalebeh. 3 samt.	General practitioner	Almen lægehjælp 80, samtalebehandling 3 samt.
613	3629	Almen lægehjælp 80, Samtalebeh. 4 samt.	General practitioner	Almen lægehjælp 80, samtalebehandling 4 samt.
614	3630	Almen lægehjælp 80, Samtalebeh. 40 min.	General practitioner	Almen lægehjælp 80, samtalebehandling 40 min.
615	3631	Almen lægehjælp 80, Samtalebeh. 5 samt.	General practitioner	Almen lægehjælp 80, samtalebehandling 5 samt.
616	3632	Almen lægehjælp 80, Samtalebeh. 6 samt.	General practitioner	Almen lægehjælp 80, samtalebehandling 6 samt.
617	3633	Almen lægehjælp 80, Samtalebeh. 7 samt.	General practitioner	Almen lægehjælp 80, samtalebehandling 7 samt.
618	3636	Almen lægehjælp 80, Samtaleterapiforløb	General practitioner	Almen lægehjælp 80, Samtaleterapiforløb
619	3644	Almen lægehjælp 80, Sindslid. 1. Indlæg.	General practitioner	Almen lægehjælp 80, 1. tvangsindlæggelse (røde eller gule papirer)
620	3646	Almen lægehjælp 80, Sindslid. Tvangsindl	General practitioner	Almen lægehjælp 80, Sindslid. Tvangsindl
621	3647	Almen lægehjælp 80, Skemaudf. add. a65	General practitioner	Almen lægehjælp 80, Skemaudf. add. a65
622	3648	Almen lægehjælp 80, Skemaudf. diabetes	General practitioner	Almen lægehjælp 80, Skemaudf. diabetes
623	3649	Almen lægehjælp 80, Socialmed. samarb.	General practitioner	Almen lægehjælp 80, Socialmed. samarb.
624	3650	Almen lægehjælp 80, Spermaund. kontrol 5	General practitioner	Almen lægehjælp 80, Spermaund. kontrol 5
625	3651	Almen lægehjælp 80, St. Udbr. Læsioner	General practitioner	Almen lægehjælp 80, Behandling af store udbredte læsioner og forbrændinger
626	3652	Almen lægehjælp 80, Støtte pårørende	General practitioner	Almen lægehjælp 80, Støtte pårørende
627	3657	Almen lægehjælp 80, Systemat. screening	General practitioner	Almen lægehjælp 80, Systemat. screening
628	3658	Almen lægehjælp 80, Sænkningsreaktion  2	General practitioner	Almen lægehjælp 80, Sænkningsreaktion
629	3659	Almen lægehjælp 80, Særkons. Sv.Forebyg.	General practitioner	Almen lægehjælp 80, Særkons. Sv.Forebyg.
630	3662	Almen lægehjælp 80, Tapning af væske	General practitioner	Almen lægehjælp 80, Tapning af væskesamling fra større led i terapeutisk øjemed – ikke i diagnostisk øjemed eller
631	3663	Almen lægehjælp 80, Tel. henv. til foræl	General practitioner	Almen lægehjælp 80, Honorar for telefonisk henvendelse til forældrene forud for MFR-vaccination
632	3664	Almen lægehjælp 80, Tel. kons. A50	General practitioner	Almen lægehjælp 80, Tel. konsultation A50
633	3669	Almen lægehjælp 80, Thrombin-målingerA42	General practitioner	Almen lægehjælp 80, Thrombin-målingerA42
634	3671	Almen lægehjælp 80, Tidstillæg	General practitioner	Almen lægehjælp 80, Tidstillæg
635	3680	Almen lægehjælp 80, Tillæg tolkehonor.	General practitioner	Almen lægehjælp 80, Tillæg tolkehonor.
636	3683	Almen lægehjælp 80, Tillæg v. kighostev.	General practitioner	Almen lægehjælp 80, Tillæg v. kighostev.
637	3690	Almen lægehjælp 80, Tlf.Kons. M. Henv.	General practitioner	Almen lægehjælp 80, telefon konsultation med Henv.
638	3692	Almen lægehjælp 80, Tlf.kons.m.bes./kon.	General practitioner	Almen lægehjælp 80, telefon konsultation med besøg/kon.
639	3693	Almen lægehjælp 80, Tlf.kons.u.bes./kon.	General practitioner	Almen lægehjælp 80, telefon konsultation uden besøg/kon.
640	3697	Almen lægehjælp 80, Tympanomet. v. kons.	General practitioner	Almen lægehjælp 80, Tympanomet. v. konsultation
641	3702	Almen lægehjælp 80, Udfyld. af dødsa.s.2	General practitioner	Almen lægehjælp 80, Udfyldelse af dødsattest side 2 inkl
642	3704	Almen lægehjælp 80, Udover 20 km.	General practitioner	Almen lægehjælp 80, Udover 20 km.
643	3705	Almen lægehjælp 80, Udskrivningskonfer.	General practitioner	Almen lægehjælp 80, Udskrivningskonfer.
644	3706	Almen lægehjælp 80, Udtagning af prøve	General practitioner	Almen lægehjælp 80, Udtagning af prøve af livmoder,-mund og -hals til cytologisk undersøgelse inkl
645	3710	Almen lægehjælp 80, Urin Blod Mv V.Stix1	General practitioner	Almen lægehjælp 80, Urin Blod Mv V.Stix1
646	3715	Almen lægehjælp 80, Urin Til Resistens 6	General practitioner	Almen lægehjælp 80, Urin til resistensbestemmelse
647	3726	Almen lægehjælp 80, Vaccinat.  2-10 år	General practitioner	Almen lægehjælp 80, Vaccinat.  2-10 år
648	3727	Almen lægehjælp 80, Vaccinat. 11-12 år	General practitioner	Almen lægehjælp 80, Vaccinat. 11-12 år
649	3728	Almen lægehjælp 80, Vaccinat. Inden 2 år	General practitioner	Almen lægehjælp 80, Vaccinat. Inden 2 år
650	3733	Almen lægehjælp 80, Vejl. af svang. 2143	General practitioner	Almen lægehjælp 80, Vejledning og undersøgelse i forbindelse med anmodning om svangerskabsafbrydelse og/eller
651	3736	Almen lægehjælp 80, Vejl.svanger. spiral	General practitioner	Almen lægehjælp 80, Vejledning om svangerskabsforebyggende metoder ved indlæggelse af spiral*
652	3737	Almen lægehjælp 80, Vejl.svangerf.p-pil.	General practitioner	Almen lægehjælp 80, Vejledning om svangerskabsforebyggende metoder herunder evt
653	3738	Almen lægehjælp 80, Venesectio Tilrådet	General practitioner	Almen lægehjælp 80, Venesektio tilrådet af hospital eller speciallæge samt ved livstruende tilstande
654	3741	Almen lægehjælp 80, aft. diab.kontrol	General practitioner	Almen lægehjælp 80, aft. diab.kontrol
655	3748	Almen lægehjælp 80, diagn.hjælp psyk.dia	General practitioner	Almen lægehjælp 80, diagnostisk hjælp psyk.dia
656	3750	Almen lægehjælp 80, fj. ørevoks	General practitioner	Almen lægehjælp 80, fj. ørevoks
657	3753	Almen lægehjælp 80, fødselshjælp	General practitioner	Almen lægehjælp 80, fødselshjælp
658	3754	Almen lægehjælp 80, hapatitis vacc i daginst.	General practitioner	Almen lægehjælp 80, hapatitis vacc i daginst.
659	3756	Almen lægehjælp 80, konf. allegispl. A50	General practitioner	Almen lægehjælp 80, konf. allegispl. A50
660	3764	Almen lægehjælp 80, nattevagtslæger afst	General practitioner	Almen lægehjælp 80, nattevagtslæger afst
661	3766	Almen lægehjælp 80, pnoumokok vacc. 12 mdr	General practitioner	Almen lægehjælp 80, pnoumokok vacc. 12 mdr
662	3768	Almen lægehjælp 80, pnoumokok vacc. 5 mdr	General practitioner	Almen lægehjælp 80, pnoumokok vacc. 5 mdr
663	3769	Almen lægehjælp 80, psyk.m.test	General practitioner	Almen lægehjælp 80, Diagnostik, udredning og opfølgning ved anvendelse af fagligt anerkendte psykometriske test6
664	3770	Almen lægehjælp 80, psykometrisk test	General practitioner	Almen lægehjælp 80, psykometrisk test
665	3772	Almen lægehjælp 80, tel. drøftelse A50	General practitioner	Almen lægehjælp 80, tel. drøftelse A50
666	3773	Almen lægehjælp 80, telefonkons. ved forløbsydelse diabetes	General practitioner	Almen lægehjælp 80, telefonkons. ved forløbsydelse diabetes
667	3782	Almen lægehjælp 80, vagtbr. B-vagt a42	General practitioner	Almen lægehjælp 80, vagtbr. B-vagt a42
668	3786	Almen lægehjælp 80, ¤2-aftale ak. 50	General practitioner	Almen lægehjælp 80, ¤2-aftale ak. 50
669	3787	Almen lægehjælp 80, ¤2.A35Afstandstillæg	General practitioner	Almen lægehjælp 80, ¤2.A35Afstandstillæg
670	3789	Almen lægehjælp 80, ®ldreproj. Skanderb.	General practitioner	Almen lægehjælp 80, ®ldreproj. Skanderb.
671	3790	Almen lægehjælp 80, årskontr.diabetes	General practitioner	Almen lægehjælp 80, årskontr.diabetes
672	3792	Almen lægehjælp 80, årskontrol,diab. a20	General practitioner	Almen lægehjælp 80, årskontrol,diab. a20
673	3796	KFA-vagtordning 81, Akutte Tilfælde Ef	KFA on-call service 81	KFA-vagtordning 81, Akutte Tilfælde Ef
674	3797	KFA-vagtordning 81, Anlæg. Af Im.Bandage	KFA on-call service 81	KFA-vagtordning 81, Anlæg. af Im.Bandage
675	3802	KFA-vagtordning 81, Brud af Skinneben Mv	KFA on-call service 81	KFA-vagtordning 81, Brud af Skinneben Mv
676	3803	KFA-vagtordning 81, Elkard. exc. præc. 6	KFA on-call service 81	KFA-vagtordning 81, Elkard. exc. præc. 6
677	3806	KFA-vagtordning 81, Flere v. inst. besøg	KFA on-call service 81	KFA-vagtordning 81, Flere v. inst. besøg
678	3807	KFA-vagtordning 81, Fremmedlegeme Hud Mv	KFA on-call service 81	KFA-vagtordning 81, Fremmedlegeme Hud Mv
679	3808	KFA-vagtordning 81, Fremmedlegeme øj. Mv	KFA on-call service 81	KFA-vagtordning 81, Fremmedlegeme øj. Mv
680	3810	KFA-vagtordning 81, Kørselsgodtgør.    I	KFA on-call service 81	KFA-vagtordning 81, Kørselsgodtgør.    i
681	3817	KFA-vagtordning 81, Sindslid. 1. Indlæg	KFA on-call service 81	KFA-vagtordning 81, Sindslid. 1. Indlæg
682	3818	KFA-vagtordning 81, Sindslid. Genindlæg	KFA on-call service 81	KFA-vagtordning 81, Sindslid. Genindlæg
683	3823	KFA-vagtordning 81, Udstedelse dødsa.s.2	KFA on-call service 81	KFA-vagtordning 81, Udstedelse dødsa.s.2
684	3824	KFA-vagtordning 81, Urin Blod Mv V.Stix1	KFA on-call service 81	KFA-vagtordning 81, Urin Blod Mv V.Stix1
685	3826	KFA-vagtordning 81, lægehj. ingen praks.	KFA on-call service 81	KFA-vagtordning 81, lægehj. ingen praks.
686	3830	Kak vagtlægehjælp 82, Afst.takst ov. 10 km	KAK on-call GP 82	Kak vagtlægehjælp 82, Afst.takst ov. 10 km
687	3831	Kak vagtlægehjælp 82, Akutte Tilfælde Ef	KAK on-call GP 82	Kak vagtlægehjælp 82, Akutte Tilfælde Ef
688	3832	Kak vagtlægehjælp 82, Andre Bety. Operat.	KAK on-call GP 82	Kak vagtlægehjælp 82, Andre Bety. operation
689	3833	Kak vagtlægehjælp 82, Anlæg. Af Im.Bandage	KAK on-call GP 82	Kak vagtlægehjælp 82, Anlæg. af Im.Bandage
690	3834	Kak vagtlægehjælp 82, B-glukose (fotom.) 4	KAK on-call GP 82	Kak vagtlægehjælp 82, B-glukose (fotom.) 4
691	3841	Kak vagtlægehjælp 82, Elkard. exc. præc. 6	KAK on-call GP 82	Kak vagtlægehjælp 82, Elkard. exc. præc. 6
692	3842	Kak vagtlægehjælp 82, Elkard. inkl. præc.9	KAK on-call GP 82	Kak vagtlægehjælp 82, Elkard. inkl. præc.9
693	3847	Kak vagtlægehjælp 82, Fremmedlegeme Hud Mv	KAK on-call GP 82	Kak vagtlægehjælp 82, Fremmedlegeme Hud Mv
694	3848	Kak vagtlægehjælp 82, Fremmedlegeme ¯j. Mv	KAK on-call GP 82	Kak vagtlægehjælp 82, Fremmedlegeme øj. Mv
695	3850	Kak vagtlægehjælp 82, I. Bakterier(dyrk.)3	KAK on-call GP 82	Kak vagtlægehjælp 82, i Bakterier(dyrk.)3
696	3852	Kak vagtlægehjælp 82, Kørselsgodtgør.  I	KAK on-call GP 82	Kak vagtlægehjælp 82, Kørselsgodtgør.  i
697	3855	Kak vagtlægehjælp 82, Lungef. v. spirom. 3	KAK on-call GP 82	Kak vagtlægehjælp 82, Lungef. v. spirom. 3
698	3861	Kak vagtlægehjælp 82, Repos. Store Led	KAK on-call GP 82	Kak vagtlægehjælp 82, Repos. Store led
699	3863	Kak vagtlægehjælp 82, Sindslid. 1. Indlæg.	KAK on-call GP 82	Kak vagtlægehjælp 82, Sindslid. 1. Indlæg.
700	3864	Kak vagtlægehjælp 82, Sindslid. Genindlæg.	KAK on-call GP 82	Kak vagtlægehjælp 82, Sindslid. Genindlæg.
701	3865	Kak vagtlægehjælp 82, Sindslid. Tvangsindl	KAK on-call GP 82	Kak vagtlægehjælp 82, Sindslid. Tvangsindl
702	3866	Kak vagtlægehjælp 82, Svang.reak.,urinc. 4	KAK on-call GP 82	Kak vagtlægehjælp 82, svangre reak,urinc. 4
703	3869	Kak vagtlægehjælp 82, Tillæg ingen praksis	KAK on-call GP 82	Kak vagtlægehjælp 82, Tillæg ingen praksis
704	3870	Kak vagtlægehjælp 82, Tillæg kval. tolk	KAK on-call GP 82	Kak vagtlægehjælp 82, Tillæg kval. tolk
705	3872	Kak vagtlægehjælp 82, Tlf.kons.m.bes./kon.	KAK on-call GP 82	Kak vagtlægehjælp 82, telefon konsultation med besøg/kon.
706	3873	Kak vagtlægehjælp 82, Tlf.kons.u.bes./kon.	KAK on-call GP 82	Kak vagtlægehjælp 82, telefon konsultation uden besøg/kon.
707	3874	Kak vagtlægehjælp 82, Tlfkons. M. Recept	KAK on-call GP 82	Kak vagtlægehjælp 82, Tlfkons. med Recept
708	3876	Kak vagtlægehjælp 82, Ud. pacemaker	KAK on-call GP 82	Kak vagtlægehjælp 82, Ud. pacemaker
709	3877	Kak vagtlægehjælp 82, Urin Blod Mv V.Stix1	KAK on-call GP 82	Kak vagtlægehjælp 82, Urin Blod Mv V.Stix1
710	3880	Kak vagtlægehjælp 82, fj. af svulster	KAK on-call GP 82	Kak vagtlægehjælp 82, fj. af svulster
711	3891	Vagtlægehjælp 83, Afst.takst ov. 10 km	On-call GP service 83	Vagtlægehjælp 83, Afst.takst ov. 10 km
712	3893	Vagtlægehjælp 83, Akutte Tilfælde EF	On-call GP service 83	Vagtlægehjælp 83, Akutte Tilfælde EF
713	3895	Vagtlægehjælp 83, Andre Bety. Operat.	On-call GP service 83	Vagtlægehjælp 83, Andre Bety. operation
714	3896	Vagtlægehjælp 83, Anlæg. Af Im.Bandage	On-call GP service 83	Vagtlægehjælp 83, Anlæg. af Im.Bandage
715	3898	Vagtlægehjælp 83, B-glukose (fotom.) 4	On-call GP service 83	Vagtlægehjælp 83, B-glukose (fotom.) 4
716	3906	Vagtlægehjælp 83, Besøg IV	On-call GP service 83	Vagtlægehjælp 83, Besøg IV
717	3913	Vagtlægehjælp 83, Elkard. exc. præc. 6	On-call GP service 83	Vagtlægehjælp 83, Elkard. exc. præc. 6
718	3914	Vagtlægehjælp 83, Elkard. inkl. præc.9	On-call GP service 83	Vagtlægehjælp 83, Elkard. inkl. præc.9
719	3915	Vagtlægehjælp 83, Fj. af svulster	On-call GP service 83	Vagtlægehjælp 83, Fj. af svulster
720	3918	Vagtlægehjælp 83, Fremmedleg. Hud/negl	On-call GP service 83	Vagtlægehjælp 83, Fremmedleg. Hud/negl
721	3919	Vagtlægehjælp 83, Fremmedlegeme ¯j. Mv	On-call GP service 83	Vagtlægehjælp 83, Fremmedlegeme øj. Mv
722	3922	Vagtlægehjælp 83, Hon.v.vagtord.på øer	On-call GP service 83	Vagtlægehjælp 83, Hon.v.vagtord.på øer
723	3923	Vagtlægehjælp 83, I. Bakterier(dyrk.)3	On-call GP service 83	Vagtlægehjælp 83, i Bakterier(dyrk.)3
724	3924	Vagtlægehjælp 83, I. Urin (mikros.)  3	On-call GP service 83	Vagtlægehjælp 83, i Urin (mikros.)  3
725	3925	Vagtlægehjælp 83, III. Andet (dyrk.) 3	On-call GP service 83	Vagtlægehjælp 83, III. Andet (dyrk.) 3
726	3926	Vagtlægehjælp 83, Ins/udl væ/valadn sk	On-call GP service 83	Vagtlægehjælp 83, Ins/udl væ/valadn sk
727	3928	Vagtlægehjælp 83, Kørselsgodtgør.  I	On-call GP service 83	Vagtlægehjælp 83, Kørselsgodtgør.  i
728	3929	Vagtlægehjælp 83, Kørselsgodtgør. II	On-call GP service 83	Vagtlægehjælp 83, Kørselsgodtgør. II
729	3934	Vagtlægehjælp 83, Nervesanatorier M.V.	On-call GP service 83	Vagtlægehjælp 83, Nervesanatorier mv
730	3935	Vagtlægehjælp 83, Næsetamponade M.V.	On-call GP service 83	Vagtlægehjælp 83, Næsetamponade mv
731	3939	Vagtlægehjælp 83, Receptfornyelse	On-call GP service 83	Vagtlægehjælp 83, Receptfornyelse
732	3940	Vagtlægehjælp 83, Repos. Store Led	On-call GP service 83	Vagtlægehjælp 83, Repos. Store led
733	3942	Vagtlægehjælp 83, Sindslid. 1. Indlæg.	On-call GP service 83	Vagtlægehjælp 83, Sindslid. 1. Indlæg.
734	3943	Vagtlægehjælp 83, Sindslid. Genindlæg.	On-call GP service 83	Vagtlægehjælp 83, Sindslid. Genindlæg.
735	3944	Vagtlægehjælp 83, Sindslid. Tvangsindl	On-call GP service 83	Vagtlægehjælp 83, Sindslid. Tvangsindl
736	3945	Vagtlægehjælp 83, St. Udbr. Læsioner	On-call GP service 83	Vagtlægehjælp 83, St. Udbr. Læsioner
737	3953	Vagtlægehjælp 83, Tillæg kval. tolk	On-call GP service 83	Vagtlægehjælp 83, Tillæg kval. tolk
738	3955	Vagtlægehjælp 83, Tlfkons. M. Recept	On-call GP service 83	Vagtlægehjælp 83, Tlfkons. med Recept
739	3957	Vagtlægehjælp 83, Ud. pacemaker	On-call GP service 83	Vagtlægehjælp 83, Ud. pacemaker
740	3958	Vagtlægehjælp 83, Udfyld. af dødsa.s.2	On-call GP service 83	Vagtlægehjælp 83, Udfyld. af dødsa.s.2
741	3961	Vagtlægehjælp 83, Urin Blod Mv V.Stix1	On-call GP service 83	Vagtlægehjælp 83, Urin Blod Mv V.Stix1
742	3968	Vagtlægehjælp 83, fj. ørevoks	On-call GP service 83	Vagtlægehjælp 83, fj. ørevoks
743	3975	Vagtlægehjælp 83, ¤2.A35Afstandstillæg	On-call GP service 83	Vagtlægehjælp 83, ¤2.A35Afstandstillæg
744	3981	Kak vagtlægehjælp 84, Kørselsgodtgør.  I	KAK on-call GP 84	Kak vagtlægehjælp 84, Kørselsgodtgør.  i
745	3985	Kak vagtlægehjælp 84, Tlfkons. M. Recept	KAK on-call GP 84	Kak vagtlægehjælp 84, Tlfkons. med Recept
746	3986	Kak vagtlægehjælp 84, Urin Blod Mv V.Stix1	KAK on-call GP 84	Kak vagtlægehjælp 84, Urin Blod Mv V.Stix1
747	3990	Præhospital, 1. behan. brud	Pre-hospital	Præhospital, 1. behan. brud
748	3991	Præhospital, Afst.takst ov. 10 km	Pre-hospital	Præhospital, Afst.takst ov. 10 km
749	3993	Præhospital, Anlæg. af im.bandage	Pre-hospital	Præhospital, Anlæg. af im.bandage
750	3999	Præhospital, Besøg IV	Pre-hospital	Præhospital, Besøg IV
751	4006	Præhospital, Kørselsgodtgør. I	Pre-hospital	Præhospital, Kørselsgodtgør. i
752	4007	Præhospital, Ligsyn og dødsat.A42	Pre-hospital	Præhospital, Ligsyn og dødsat.A42
753	4011	Præhospital, Psykisk førstehjælp	Pre-hospital	Præhospital, Psykisk førstehjælp
754	4012	Præhospital, Repos. store led	Pre-hospital	Præhospital, Repos. store led
755	4013	Præhospital, St. udbr. læsioner	Pre-hospital	Præhospital, St. udbr. læsioner
